#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#80000/1	-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_80000	Cphi_2_80000	Cphi_3_80000	cFE/vol_80000
0.1	0.0487645	-0.120191	0.00490419	-0.311143
0.09	0.050962	-0.131918	0.00475043	-0.320827
0.08	0.0535501	-0.145683	0.00454183	-0.332212
0.07	0.0561648	-0.159301	0.00437875	-0.343379
0.06	0.0583707	-0.171222	0.00422001	-0.353253
0.05	0.0603669	-0.184245	0.00405548	-0.364444
0.04	0.06257		-0.198964	0.00389169	-0.377124
0.03	0.0648033	-0.212162	0.00374092	-0.388239
0.02	0.066945	-0.225513	0.00358904	-0.3996



