# round trips	 doserror
1	-12.85
1	-13.69
2	-13.05
2	-8.516
2	-7.785
2	-6.069
2	6.769
2	8.377
2	8.921
2	8.595
2	8.604
2	8.095
2	8.099
2	7.962
2	7.854
2	7.849
2	7.781
2	7.74
2	7.664
2	7.615
2	7.135
2	6.511
2	6.212
2	6.127
2	5.957
2	5.94
2	5.552
2	5.369
2	5.174
2	1.89
2	1.774
2	1.779
2	1.781
2	1.013
2	1.114
2	1.083
2	1.06
4	1.308
4	1.427
4	1.514
4	1.508
4	1.604
4	1.632
7	1.87
7	1.875
9	1.886
11	1.733
11	1.805
11	1.806
12	1.848
12	1.783
14	1.761
14	1.769
14	1.794
15	1.806
17	1.77
17	1.796
17	1.952
21	1.912
21	1.956
22	1.991
32	1.985
33	1.975
36	2.016
37	2.012
44	2.017
46	2.04
46	2.052
46	2.08
48	2.111
49	2.142
53	2.158
56	2.183
60	2.203
63	2.216
64	2.239
69	2.26
72	2.271
74	2.321
74	2.332
75	2.335
78	2.348
80	2.358
82	2.393
84	2.38
84	2.377
86	2.376
93	2.386
98	2.346
100	2.345
100	2.347
108	1.641
108	1.656
114	1.66
117	1.676
124	1.71
129	1.71
131	1.725
133	1.743
140	1.748
142	1.758
143	1.779
147	1.798
151	1.813
161	1.824
169	1.831
174	1.827
183	1.83
187	1.835
189	1.854
192	1.864
197	1.872
197	1.892
201	1.897
211	1.884
214	1.894
221	1.898
224	1.93
230	1.934
231	1.939
234	1.96
239	1.969
248	1.969
260	1.95
270	1.942
275	1.945
286	1.951
287	1.959
293	1.973
298	1.947
308	1.939
317	1.94
321	1.949
326	1.945
329	1.944
340	1.949
348	1.94
355	1.929
361	1.929
367	1.94
367	1.957
370	1.966
371	1.983
380	1.987
388	1.989
398	2.002
402	2.011
408	2.012
410	1.991
413	2.003
419	2.011
429	2.023
435	2.024
440	2.019
444	2.032
445	2.045
449	2.048
454	2.037
458	2.033
466	2.031
479	2.036
489	2.051
497	2.051
504	2.063
511	2.073
523	2.086
534	2.083
540	2.09
541	2.102
555	2.105
556	2.114
563	2.123
573	2.127
582	2.131
592	2.146
596	2.158
606	2.166
611	2.171
625	2.171
637	2.178
646	2.182
