# round trips	 doserror
0	-841.4
1	-997.2
1	-1000
3	-942.3
3	-953.1
4	-891.3
5	-641.6
5	-879.1
6	-874.1
8	-841.4
10	-711.3
11	-436.3
12	-489.2
12	-733
13	-579
15	-694.5
17	-288.2
18	-492.5
19	-528.9
19	-528.9
19	-528.9
19	-528.9
19	-733.9
21	-427.7
23	-223.1
26	-61.3
28	-17.77
31	-47.2
32	29.65
33	-43.33
34	-105
37	-116.9
40	-33.81
42	-32.51
44	-91.9
47	-42.33
49	-78.16
53	-112.8
56	-67.48
60	-68.54
62	-49.27
63	6.348
65	-70.41
68	-52.57
70	-15.49
73	-64.49
75	-45.08
77	-125.6
79	-21.23
81	-48.75
83	-82.29
85	-7.204
89	-38.19
91	-26.34
93	-24.14
96	-78.87
97	-24.24
97	-24.24
97	-44.25
99	-28.47
103	-47.91
107	-49.14
110	-52.47
112	-65.6
113	-43.55
113	-22.13
115	-34.7
118	-43.63
119	-33.84
122	-52.58
125	-32.22
127	-9.071
129	-43.2
131	-12.61
133	-2.868
135	-84.5
138	-35.61
138	-14.15
139	-44.93
141	-44.43
143	-54.02
144	-11.64
145	-38.43
147	-26.77
149	-33.05
150	-13.7
152	-19.46
155	-39.41
157	-43.26
158	-21.34
161	-48.59
163	-45.91
166	-13.46
168	-34.3
170	-58.34
171	-69.9
173	-27.1
175	-14.9
177	-53.02
178	-39.18
182	-26.1
184	-27.27
185	-26.41
186	-11.05
188	-46.48
190	-33.75
190	-31.39
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-32.55
190	-34.67
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-27.28
190	-20.97
192	-33.67
193	-50.06
195	-24.53
197	-16.98
199	-33.35
200	-8.411
200	-16.9
203	-44.21
205	-36.11
205	-48.04
208	-44.14
210	-26
212	-15.39
212	-16.27
214	-42.18
215	-23.28
217	-11.35
218	-41.97
220	-43.03
223	-52.85
223	-18.65
224	-44.17
226	-20.56
229	-44.53
230	-20.23
232	-28.79
235	-22.05
236	-24.98
238	-46.85
239	-27.43
239	-5.504
240	-5.057
242	-15.91
244	-10.47
245	-14.32
246	-15.24
247	-26.01
248	-38.16
251	-29.22
251	-25.01
253	-20.72
255	-23.85
257	-50.36
257	-24.25
258	-12.69
259	-26.19
262	-17.49
263	-5.274
264	-10.3
265	-3.414
266	-23.05
268	-16.15
270	-24.24
270	-10.99
270	-10.99
270	-12.08
271	-18.93
272	-7.97
273	-19.23
275	-24.35
277	-31.07
279	-26.7
279	3.499
280	-25.39
282	-27.63
282	-10.43
283	-14.53
284	-1.905
285	-33.13
287	-40.07
287	-25.14
289	-20.06
291	-32.92
292	-23.79
292	-0.5715
292	-0.5715
292	-0.5715
292	-4.672
292	-37.24
294	-13.46
294	5.06
295	-39.33
297	-22.42
300	-21.05
301	-28.9
302	-4.869
304	-33.29
304	1.275
305	-10.27
306	-23.24
307	-34.01
308	-35.6
309	-17.9
310	-8.211
311	-17.43
313	-19.15
313	-8.315
314	-3.606
315	-18.97
317	-28.44
317	-22.3
318	-2.733
319	-24.81
320	-8.531
320	-9.604
321	-13.4
322	-13.75
323	-37.63
327	-33.62
327	-27.26
329	-13.13
330	-12.9
331	-26.77
332	-37.67
333	-5.97
334	-11.8
336	-35.31
337	-13.36
338	-8.384
339	-20.08
340	-20.39
340	-3.15
340	-10.65
342	-39.78
344	-26.95
345	-22.12
346	-18.47
348	-20.78
349	-16.75
350	-21.9
351	-13.21
352	1.603
354	-8.849
355	-21.77
357	-23.46
358	-17.47
360	-31.89
362	-13.63
362	-22.75
363	0.04923
364	-3.624
366	-15.46
366	-22.94
367	1.481
368	-25.69
369	-29.22
371	-23.42
371	-0.3798
372	-12.77
374	-20.87
376	-23
377	-20.9
377	-9.318
378	-19.51
379	-4.813
380	-22.34
380	-8.147
381	-43.72
382	-19.99
384	-22.32
386	-18.96
386	-1.335
387	-29.81
389	-16.66
389	-10.32
390	-12.91
391	-28.29
391	-8.584
391	-13.93
393	-13.68
393	-13.53
395	-27.11
397	-20.38
398	-16.88
398	-11.91
399	-16.75
400	-17
401	-4.902
401	-4.902
401	-5.704
401	-29.53
404	-21.83
405	-29.69
405	-7.2
406	-23.52
409	-35.81
410	-4.418
410	-30.21
411	-8.902
412	2.195
413	-2.298
414	-10.19
414	-9.352
416	-15.76
417	-30.83
419	-6.547
421	-21.36
422	-20.97
422	-0.5719
423	2.06
423	-12.36
425	-28.9
425	-14.34
427	-18.55
427	-20.05
429	-12.92
430	-11.4
431	-36.81
433	-22.96
433	-5.568
435	-14.26
436	-18.91
436	-9.951
436	-11.48
439	-34.77
439	3.612
441	-23.77
442	-28.09
443	-18.92
443	-12.74
444	-15.98
446	-9.755
446	-23.22
448	-17.74
449	-18.63
450	-3.709
451	-16.82
453	-21.69
455	-22.69
455	-0.5129
455	-12.64
456	-22.76
457	-35.48
459	-6.361
460	-13.53
460	-19.71
461	-3.974
462	-32.51
463	-17.39
463	-14.27
464	-12.9
466	-11.04
467	-18.58
468	-21.44
468	-21.33
468	-22.56
468	-23.33
468	-25.4
468	-15.49
469	-29.33
470	-29.07
470	-10.5
472	-22.45
472	-9.205
474	-10.19
474	-19.64
475	-19.87
478	-18.99
479	-14.1
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.229
479	-3.759
479	-3.887
479	-5.569
480	1.663
480	-26.8
482	2.395
483	-14.25
483	-16.6
485	3.679
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	-0.6374
485	5.027
485	-12.92
487	-16.21
489	-23.33
491	-15.3
491	-8.453
492	-5.573
493	-14.76
494	-16.61
495	-8.366
496	-7.527
497	-0.2376
498	-3.619
498	-29.72
500	-17.92
501	-18.24
503	-3.696
505	-31.29
506	-5.534
507	-6.222
508	-10.14
510	-19.11
510	-2.242
510	2.596
511	2.41
512	-19.68
512	-5.742
513	8.179
513	-15.42
514	-10.82
515	-14.83
516	-6.118
517	-15.73
517	-16.12
517	-16.12
517	-16.97
517	-22.97
517	-1.117
517	-7.131
518	-11.13
519	1.642
519	-7.448
521	-2.883
522	-10.36
523	-9.508
523	-9.619
525	-8.773
525	-0.246
527	-8.477
527	-18.66
528	-7.314
529	-13.22
530	-10.53
531	5.23
532	-15.86
533	-7.089
534	7.148
535	-1.027
536	-0.9144
537	-4.44
538	-18.59
538	8.17
538	7.756
538	7.756
538	7.331
538	14.57
538	-5.672
539	-16.78
540	-8.334
542	-22.26
543	-9.196
545	-10.13
546	-9.406
547	-13.05
548	-8.258
550	3.415
552	-7.294
552	-6.208
552	-8.467
552	-7.149
552	-6.636
552	-28.65
554	-14.37
554	-17.9
556	-5.628
557	-5.408
558	-6.078
558	-5.855
559	-1.071
559	-2.726
560	-8.68
560	-14.2
