# iterations	 errorinentropy	 maxerror
5.443e+04	664.4	2290
9.412e+04	761.5	2665
1.421e+05	764.6	2727
2.066e+05	748.7	2469
2.766e+05	768.3	2603
3.604e+05	740.6	2564
4.519e+05	517.1	1766
5.561e+05	728.8	2491
6.73e+05	723.9	2460
8.128e+05	692.9	2326
9.584e+05	575.6	1938
1.114e+06	362.9	1351
1.277e+06	400	1447
1.449e+06	594.7	2005
1.627e+06	467.5	1653
1.848e+06	561.5	1906
2.069e+06	268.6	1161
2.31e+06	402.7	1522
2.563e+06	429.4	1567
2.801e+06	429.4	1567
3.028e+06	429.4	1567
3.265e+06	429.4	1566
3.512e+06	595.5	1994
3.814e+06	357.3	1371
4.138e+06	231.7	1040
4.468e+06	134.8	752.4
4.811e+06	67.52	499.6
5.157e+06	119.8	717.5
5.438e+06	61.28	479.6
5.601e+06	103	633.4
5.791e+06	173.5	866.3
6.199e+06	158.6	804.2
6.623e+06	136.5	753.3
7.041e+06	84.11	550.8
7.479e+06	138.6	735.9
7.934e+06	113.6	689.8
8.405e+06	106.6	592.4
8.884e+06	163.1	845.3
9.4e+06	122.8	680.5
9.908e+06	111.7	632.9
1.043e+07	83.83	519.9
1.095e+07	48.69	383.9
1.145e+07	107.3	627.3
1.202e+07	137.9	764.8
1.258e+07	61.42	452.2
1.314e+07	134.8	752.2
1.373e+07	70.82	437.9
1.431e+07	102.2	479.7
1.489e+07	96.63	616
1.552e+07	86.05	530.5
1.617e+07	78.27	434.3
1.681e+07	35.12	293.5
1.744e+07	86.01	555
1.812e+07	85.72	547.5
1.882e+07	76.69	514.6
1.954e+07	89.74	462.6
2.026e+07	61.18	429.2
2.093e+07	61.18	429.2
2.157e+07	52.61	271
2.224e+07	90.78	569.7
2.302e+07	89.32	555.2
2.382e+07	93.3	570.8
2.463e+07	86.82	543.3
2.544e+07	78.62	440
2.624e+07	67.54	410.4
2.702e+07	23.36	167.9
2.776e+07	55.01	370
2.863e+07	61.76	391.7
2.95e+07	60.66	395.4
3.036e+07	68.05	388.8
3.126e+07	54.24	368.2
3.213e+07	39.11	319.2
3.304e+07	92	583.9
3.4e+07	37.48	280
3.49e+07	34.44	307.7
3.585e+07	77.67	401.7
3.681e+07	56.5	366.8
3.776e+07	43.6	299.9
3.86e+07	45.11	248.5
3.949e+07	89.94	551
4.032e+07	98.13	582.9
4.101e+07	38.24	302.5
4.197e+07	62.01	364.2
4.301e+07	53.07	368.9
4.405e+07	46.1	267.3
4.511e+07	33.12	196.9
4.613e+07	55.09	354.7
4.724e+07	72.06	419.9
4.835e+07	60.71	374.2
4.946e+07	42.17	306.5
5.057e+07	90.94	548.5
5.175e+07	52.27	295.6
5.288e+07	40.48	282.8
5.402e+07	62.34	359.9
5.521e+07	64.83	348.4
5.64e+07	71.83	389.8
5.761e+07	48.33	317.6
5.879e+07	40.74	309.5
6.001e+07	66.55	397.8
6.129e+07	50.75	308.2
6.249e+07	73.78	488.9
6.329e+07	48.84	341.3
6.453e+07	49.18	299.5
6.533e+07	40.8	307
6.634e+07	61.54	366.4
6.723e+07	52.15	306.6
6.813e+07	47.86	291.8
6.902e+07	46.19	240.7
6.972e+07	46.19	240.7
7.084e+07	46.19	240.7
7.159e+07	46.19	240.7
7.242e+07	46.19	240.7
