# round trips	 doserror
0	7.694
0	12.93
0	13.72
0	10.44
0	11.57
0	9.441
0	8.317
0	8.291
0	8.533
0	7.07
0	6.935
0	6.456
0	5.669
0	5.764
0	5.041
0	5.194
0	4.822
0	4.435
0	4.433
0	3.927
0	3.589
0	3.535
0	3.458
0	3.032
0	2.757
0	2.588
0	2.666
0	2.604
0	2.784
0	2.568
0	2.596
0	2.77
0	2.627
0	2.547
0	2.517
0	2.374
0	2.339
0	2.276
0	2.176
0	2.245
0	2.324
0	2.296
0	2.284
0	2.188
0	2.233
0	2.175
0	2.09
0	2.062
0	1.984
0	1.918
0	1.825
0	1.783
0	1.734
0	1.743
0	1.676
0	1.634
0	1.588
0	1.564
0	1.574
0	1.451
0	1.461
0	1.468
0	1.458
0	1.443
0	1.439
0	1.402
0	1.327
0	1.319
0	1.249
0	1.193
0	1.138
0	1.082
0	1.058
0	1.054
0	0.9849
0	0.9999
0	0.9643
0	0.9793
0	0.9858
0	0.9816
0	0.9867
0	0.976
0	0.9925
0	1.009
0	0.9606
0	0.9415
0	0.9152
0	0.9364
0	0.9611
0	0.9505
0	0.9074
0	0.8555
0	0.8349
0	0.854
0	0.8799
0	0.8831
0	0.8705
0	0.8441
0	0.8355
0	0.8042
0	0.8222
0	0.8421
0	0.8018
0	0.7737
0	0.7631
0	0.7695
0	0.7573
0	0.7515
0	0.739
0	0.7389
0	0.7474
0	0.7472
0	0.7305
0	0.7359
0	0.7445
0	0.7132
0	0.7152
0	0.7104
0	0.6826
0	0.6622
0	0.6565
0	0.6411
0	0.6387
0	0.6178
0	0.6203
0	0.6353
0	0.6278
0	0.6277
0	0.6273
0	0.6102
0	0.5982
0	0.6052
0	0.5945
0	0.5579
0	0.5583
0	0.5758
0	0.5795
0	0.5922
0	0.577
0	0.5662
0	0.5732
0	0.5599
0	0.5554
0	0.5568
0	0.5442
0	0.5329
0	0.5242
0	0.5218
0	0.5153
0	0.5004
0	0.5028
0	0.4715
0	0.4713
0	0.4633
0	0.4511
0	0.4428
0	0.4318
0	0.4434
0	0.439
0	0.4346
0	0.4468
0	0.4457
0	0.4547
0	0.4403
0	0.4364
0	0.4336
0	0.4189
0	0.4238
0	0.4284
0	0.4342
0	0.4368
0	0.4304
0	0.4333
0	0.4248
0	0.4213
0	0.4213
0	0.4209
0	0.4153
0	0.4143
0	0.4164
0	0.4268
0	0.4183
0	0.4134
0	0.4159
0	0.408
0	0.4154
0	0.4041
0	0.3877
0	0.386
0	0.3818
0	0.3841
0	0.3802
0	0.3558
0	0.336
0	0.3249
0	0.3094
0	0.2989
0	0.3068
0	0.3036
0	0.3015
