# round trips	 doserror
0	1.039e+04
0	4573
0	4171
0	2447
0	909.2
0	270.9
0	210.8
0	409.2
0	409.2
0	409.2
0	236.5
0	222.5
0	334.5
0	287.9
0	299.4
0	183
0	183
0	16.04
0	42.67
0	114.6
0	55.99
0	36.5
0	51.68
0	49.76
0	42.34
0	62.03
0	70.83
0	43.76
0	93.44
0	59.24
0	50.63
0	54.5
0	54.5
0	24.97
0	39.98
0	25.78
0	57.16
0	22.71
0	22.91
0	16.47
0	11.38
0	33.38
0	16.38
0	23.71
0	21.29
0	35.29
0	3.955
0	21.54
0	-1.995
0	-1.995
0	-1.995
0	-1.995
0	-1.995
0	24.53
0	7.082
0	0.2805
0	11.49
0	2.891
0	2.891
0	12.98
0	17.73
0	3.875
0	18.97
0	-8.004
0	-4.909
0	-4.432
0	7.013
0	10.12
0	4.849
0	7.171
0	8.355
0	11.7
0	7.519
0	6.284
0	2.664
0	4.975
0	12.12
0	11.84
0	7.062
0	11.08
0	-0.7458
0	9.73
0	4.893
0	9.175
0	13.93
0	-1.847
0	-4.825
0	0.905
0	1.41
0	11.92
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	7.649
0	6.031
0	15.8
0	-1.898
0	0.4653
0	3.249
0	2.51
0	4.587
0	6.23
0	2.257
0	9.095
0	0.8721
0	0.3806
0	2.239
0	5.652
0	3.096
0	-3.439
0	1.377
0	10.84
0	10.54
0	1.964
0	-3.154
0	4.628
0	1.899
0	-3.574
0	-0.5773
0	-2.448
0	9.648
0	-1.74
0	4.113
0	1.36
0	-1.222
0	1.552
0	5.414
0	-4.272
0	2.377
0	3.967
0	9.302
0	-0.2326
0	1.48
0	1.688
0	6.068
0	-4.455
0	2.72
0	4.769
0	2.898
0	-0.8938
0	0.06155
0	7.195
0	-1.974
0	4.487
0	0.3658
0	0.9401
0	1.112
0	0.3271
0	1.948
0	4.491
0	5.989
0	-0.001374
0	7.378
0	4.902
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-0.5531
0	-1.331
0	8.865
0	5.69
0	5.249
0	3.874
0	5.984
0	-2.004
0	-2.172
0	0.6316
0	1.032
0	0.5781
0	3.285
0	1.365
0	-0.7721
0	1.939
0	-1.69
0	5.739
0	0.2227
0	-3.502
0	0.1731
0	4.49
0	3.548
0	-4.543
0	-1.685
0	-1.685
0	-1.957
0	1.664
0	-0.08073
0	2.497
0	-1.177
0	5.794
0	5.594
0	0.137
0	6.32
0	-1.095
0	0.5625
0	3.697
0	0.6248
0	4.548
0	2.351
0	2.346
0	0.01078
0	2.998
0	7.785
0	-3.288
0	2.055
0	1.39
0	4.053
0	-1.063
0	3.128
0	0.1269
0	2.025
0	2.029
0	2.942
0	3.908
0	-2.291
0	-1.588
0	3.942
0	-1.094
0	-0.09394
0	5.908
0	0.3329
0	3.042
0	0.2911
0	-0.417
0	7.139
0	2.099
0	2.139
0	2.04
0	-0.03623
0	-0.5638
0	3.267
0	-0.1392
0	-1.511
0	2.964
0	-0.3896
0	5.432
0	3.842
0	2.064
0	2.1
0	4.554
0	1.698
0	0.922
0	2.345
0	0.4281
0	0.1363
0	0.0595
0	0.8495
0	1.704
0	2.453
0	5.077
0	5.077
0	5.077
0	5.077
0	5.077
0	5.077
0	0.412
0	3.59
0	1.712
0	4.106
0	1.627
0	0.6844
0	2.135
0	2.304
0	0.874
0	1.839
0	0.3548
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.1395
0	-0.6432
0	1.101
0	4.471
0	-0.8508
0	-1.021
0	-0.9802
0	-0.3528
0	0.5739
0	0.4286
0	0.2358
0	-0.6619
0	1.524
0	0.1432
0	-0.8787
0	-0.7612
0	2.478
0	0.0967
0	1.296
0	-1.153
0	0.7116
0	0.5596
0	1.195
0	1.493
0	-2.282
0	1.128
0	3.602
0	-2.507
0	1.88
0	1.382
0	5.293
0	2.093
0	1.207
0	2.535
0	4.315
0	0.2021
0	-1.624
0	1.1
0	-0.1744
0	-1.494
0	1.875
0	-0.3443
0	1.236
0	1.671
0	-3.794
0	0.7717
0	1.776
0	1.932
0	4.468
0	0.338
0	-0.2741
0	1.511
0	2.459
0	1.41
0	1.904
0	-0.1642
0	-1.211
0	2.393
0	3.034
0	-0.0726
0	3.868
0	0.979
0	0.6597
0	3.509
0	-1.028
0	-0.3116
0	-0.5069
0	0.7833
0	3.014
0	0.4097
0	0.08232
0	0.7363
0	1.02
0	-0.979
0	1.963
0	1.88
0	-2.802
0	-0.6473
0	3.382
0	1.277
0	1.45
0	-0.8071
0	-0.7893
0	-0.08526
0	0.2533
0	-0.05435
0	2.78
0	-1.191
0	1.913
0	1.798
0	0.4056
0	0.4065
0	-0.834
0	-1.014
0	0.1691
0	-2.167
0	1.673
0	2.01
0	-1.821
0	0.4065
0	0.8894
0	1.387
0	-0.8451
0	-0.8451
0	0.6383
0	1.411
0	1.008
0	3.358
0	2.693
0	-0.7022
0	1.423
0	-0.3139
0	-0.2402
0	2.73
0	0.4805
0	1.676
0	0.01541
0	0.5836
0	1.697
0	0.6315
0	-1.087
0	1.181
0	1.531
0	4.406
0	2.084
0	-1.736
0	-3.39
0	0.6863
0	-0.6885
0	0.3848
0	3.632
0	2.46
0	-0.2993
0	-1.131
0	-0.4802
0	-0.135
0	0.8258
0	1.573
0	1.049
0	1.183
0	0.1284
0	-0.8009
0	1.518
0	3.205
0	-0.182
0	1.429
0	-0.3477
0	2.401
0	2.695
0	-1.058
0	0.5838
0	-1.59
0	-2.781
0	0.2844
0	0.9024
0	-0.6175
0	-0.8664
0	-0.6665
0	1.392
0	-0.2257
0	2.355
0	-0.05759
0	0.2842
0	0.837
0	0.6494
0	1.275
0	0.8866
0	-1.456
0	1.874
0	2.443
0	1.69
0	-0.2681
0	-0.2008
0	1.746
0	2.809
0	2.37
0	3.347
0	0.3697
0	2.888
0	1.301
0	1.09
0	0.7241
0	0.8362
0	0.9104
0	1.286
0	1.026
0	-1.871
0	0.1152
0	0.03352
0	0.1649
0	3.479
0	-0.1298
0	0.5765
0	-0.5975
0	1.333
0	-0.0189
0	0.3206
0	0.8569
0	-0.6691
