# round trips	 doserror
0	-71.71
0	-57.35
0	-55.95
0	-54.22
0	-53.76
0	-52.07
0	-52.29
0	-51.31
0	-50.56
0	-48.55
0	-48.05
0	-47.17
0	-45.93
0	-45.19
0	-44.49
0	-44.24
0	-43.98
0	-43.97
0	-44.64
0	-44.1
0	-44.19
0	-44.02
0	-42.45
0	-42.23
0	-43.4
0	-43.12
0	-42.77
0	-40.58
0	-40.67
0	-40.22
0	-39.96
0	-39.84
0	-40.16
0	-39.88
0	-40.12
0	-37.46
0	-37.9
0	-37.57
0	-36.88
0	-36.69
0	-36.48
0	-36.76
0	-36.64
0	-36.47
0	-34.23
0	-34.05
0	-33.81
0	-35.87
0	-36.07
0	-35.21
0	-35.12
0	-35.02
0	-33.56
0	-33.47
0	-33.3
0	-33.08
0	-32.92
0	-32.63
0	-32.36
0	-32.2
0	-32.09
0	-31.95
0	-31.83
0	-31.72
0	-31.65
0	-31.61
0	-31.49
0	-31.42
0	-31.36
0	-31.76
0	-31.34
0	-31.27
0	-31.17
0	-31.31
0	-31.23
0	-31.2
0	-31.16
0	-31.07
0	-31.2
0	-30.25
0	-30.26
0	-30.1
0	-29.89
0	-29.87
0	-29.73
0	-29.6
0	-29.9
0	-29.84
0	-29.93
0	-29.87
0	-28.44
0	-28.34
0	-28.26
0	-28.18
0	-28.07
0	-28.89
0	-28.85
0	-28.72
0	-28.63
0	-29.17
0	-28.97
0	-29.02
0	-29.18
0	-29.14
0	-28.96
0	-27.32
0	-27.13
0	-27.92
0	-27.82
0	-27.83
0	-26.98
0	-27.28
0	-27.17
0	-27.07
0	-26.95
0	-26.89
0	-26.82
0	-26.78
0	-26.78
0	-26.87
0	-27
0	-26.98
0	-26.93
0	-26.86
0	-26.79
0	-26.72
0	-26.5
0	-26.45
0	-26.42
0	-26.4
0	-26.41
0	-26.38
0	-26.85
0	-26.8
0	-25.27
0	-25.21
0	-25.08
0	-24.98
0	-24.96
0	-25.28
0	-25.19
0	-25.11
0	-25.22
0	-25.18
0	-25
0	-25.01
0	-24.9
0	-24.86
0	-24.95
0	-25.02
0	-24.9
0	-25.08
0	-24.31
0	-24.18
0	-24.11
0	-24.02
0	-23.56
0	-23.46
0	-23.4
0	-23.28
0	-23.21
0	-23.31
0	-23.33
0	-23.26
0	-23.36
0	-22.14
0	-22.18
0	-22.17
0	-22.29
0	-22.23
0	-22.36
0	-22.33
0	-22.25
0	-22.15
0	-22.07
0	-22
0	-21.94
0	-21.86
0	-21.81
0	-21.76
0	-21.73
0	-21.68
0	-22.68
0	-22.74
0	-21.63
0	-21.59
0	-21.33
0	-21.25
0	-21.21
0	-21.76
0	-21.71
0	-21.46
0	-21.39
0	-21.55
0	-21.44
0	-21.36
0	-21.36
0	-21.26
0	-21.25
0	-21.15
0	-21.06
0	-21.02
0	-20.97
0	-20.94
0	-20.89
0	-20.92
0	-20.89
0	-20.85
0	-20.81
0	-20.78
0	-20.79
0	-20.98
0	-20.94
0	-21.11
0	-20.33
0	-20.3
0	-20.27
0	-20.24
0	-20.54
0	-20.51
0	-20.55
0	-20.52
0	-20.36
0	-20.31
0	-20.26
0	-20.22
0	-20.29
0	-20.27
0	-20.23
0	-20.22
0	-20.5
0	-20.49
0	-20.46
0	-20.45
0	-20.41
0	-20.39
0	-20.36
0	-20.39
0	-20.41
0	-20.37
0	-20.34
0	-20.28
0	-20.4
0	-19.1
0	-19.24
0	-19.23
0	-19.15
0	-19.13
0	-19.11
0	-19.09
0	-19.03
0	-18.99
0	-18.98
0	-18.97
0	-18.99
0	-18.95
0	-18.96
0	-18.94
0	-18.82
0	-18.84
0	-18.79
0	-18.75
0	-19.03
0	-19.01
0	-19.53
0	-19.48
0	-19.45
0	-19.44
0	-19.42
0	-19.42
0	-19.52
0	-19.45
0	-19.1
0	-17.97
0	-17.93
0	-17.87
0	-17.82
0	-17.82
0	-17.78
0	-17.76
0	-17.76
0	-17.75
0	-17.72
0	-17.69
0	-17.67
0	-17.64
0	-17.73
0	-17.68
0	-17.66
0	-18.18
0	-18.14
0	-18.13
0	-18.09
0	-18.06
0	-18.04
0	-18.01
0	-17.99
0	-17.99
0	-17.98
0	-18.35
0	-18.29
0	-18.26
0	-18.01
0	-17.99
0	-17.97
0	-17.95
0	-17.94
0	-17.93
0	-17.93
0	-17.92
0	-17.9
0	-17.89
0	-17.87
0	-17.85
0	-17.85
0	-17.76
0	-17.74
0	-17.38
0	-17.36
0	-17.34
0	-17.32
0	-17.3
0	-17.28
0	-17.29
0	-17.28
0	-17.27
0	-17.25
0	-17.24
0	-17.23
0	-17.17
0	-17.15
0	-17.13
0	-17.1
0	-17.32
0	-17.48
0	-17.46
0	-17.46
0	-17.48
0	-17.42
0	-17.41
0	-17.34
0	-17.31
0	-17.71
0	-17.68
0	-17.67
0	-17.65
0	-17.6
0	-17.59
0	-17.54
0	-17.52
0	-17.55
0	-17.54
0	-17.51
0	-17.49
0	-17.47
0	-17.45
0	-17.56
0	-17.54
0	-17.52
0	-17.52
0	-17.52
0	-17.5
0	-17.49
0	-17.48
0	-17.56
0	-17.55
0	-17.54
0	-17.51
0	-17.49
0	-17.47
0	-17.45
0	-17.44
0	-17.44
0	-17.43
0	-17.41
0	-17.4
0	-17.39
0	-17.43
0	-17.41
0	-17.41
0	-17.4
0	-15.61
0	-15.6
0	-15.62
0	-15.62
0	-15.6
0	-15.58
0	-16.29
0	-16.26
0	-16.19
0	-16.14
0	-16.24
0	-16.21
0	-16.28
0	-16.25
0	-16.22
0	-16.19
0	-16.16
0	-16.33
0	-16.3
0	-16.28
0	-16.26
0	-16.25
0	-16.24
0	-16.21
0	-16.33
0	-16.3
0	-16.29
0	-16.28
0	-16.35
0	-16.32
0	-16.3
0	-16.29
0	-16.27
0	-16.27
0	-16.25
0	-16.34
0	-16.32
0	-16.32
0	-16.3
0	-16.28
0	-16.26
0	-16.31
0	-16.29
0	-16.27
0	-16.26
0	-16.25
0	-16.45
0	-16.44
0	-16.43
0	-16.43
0	-16.44
0	-16.41
0	-16.4
0	-16.39
0	-16.39
0	-16.38
0	-16.38
0	-16.37
0	-16.36
0	-16.33
0	-16.32
0	-16.32
0	-16.35
0	-16.34
0	-16.33
0	-14.79
0	-14.78
0	-14.75
0	-14.75
0	-14.73
0	-14.71
0	-14.71
0	-14.69
0	-14.67
0	-14.65
0	-14.62
0	-14.62
0	-15.04
0	-15.04
0	-15.47
0	-15.47
0	-15.46
0	-15.45
0	-15.45
0	-15.44
0	-15.43
0	-15.42
0	-15.41
0	-15.4
0	-15.45
0	-15.46
0	-15.49
0	-15.49
0	-15.48
0	-15.49
0	-15.54
0	-15.54
0	-15.55
0	-15.54
0	-15.55
0	-15.55
0	-15.53
0	-15.58
0	-15.61
0	-15.6
0	-15.58
0	-15.56
0	-15.56
0	-15.67
0	-15.62
0	-15.67
0	-15.67
0	-15.68
0	-15.66
0	-15.64
0	-15.02
0	-15.01
0	-14.99
0	-14.99
0	-14.99
0	-14.98
0	-15.16
0	-15.13
0	-15.12
0	-15.11
0	-15.09
0	-15.07
0	-15.06
0	-15.06
0	-15.05
0	-15.03
0	-15.04
0	-15.03
0	-15.01
0	-15
0	-14.97
0	-14.97
0	-14.96
0	-14.94
0	-14.93
0	-14.91
0	-14.9
0	-14.89
0	-14.95
0	-14.95
0	-14.93
0	-14.92
0	-14.91
0	-14.89
0	-14.9
0	-14.89
0	-14.88
0	-14.86
0	-14.34
0	-14.32
0	-14.3
0	-14.31
0	-14.29
0	-14.26
0	-14.23
0	-14.23
0	-14.22
0	-14.21
0	-14.18
0	-14.17
0	-14.15
0	-14.13
0	-14.1
0	-14.11
0	-14.09
0	-14.06
0	-14.06
0	-14.03
0	-14.01
0	-13.99
0	-13.99
0	-14.19
0	-14.16
0	-14.14
0	-14.12
0	-14.09
0	-14.05
0	-14.03
0	-14.09
0	-14.09
0	-14.04
0	-14.03
0	-13.71
0	-13.69
0	-13.67
0	-13.66
0	-13.65
0	-13.65
0	-13.79
0	-13.75
0	-13.73
0	-13.7
0	-13.67
0	-13.65
0	-13.65
0	-13.62
0	-13.59
0	-13.58
0	-13.57
0	-13.56
0	-13.56
0	-13.54
0	-13.52
0	-13.55
0	-13.54
0	-13.52
0	-13.71
0	-13.74
0	-13.73
0	-13.72
0	-13.71
0	-13.7
0	-13.69
0	-13.68
0	-13.69
0	-13.69
0	-13.68
0	-13.67
0	-13.66
0	-13.65
0	-13.64
0	-13.63
0	-13.62
0	-13.62
0	-13.6
0	-13.62
0	-13.61
0	-13.6
0	-13.59
0	-13.62
0	-13.61
0	-13.6
0	-13.59
0	-13.58
0	-13.57
0	-13.56
0	-13.55
0	-13.54
0	-13.53
0	-13.53
0	-13.34
