# round trips	 doserror
0	-42.83
0	7.066
0	16.03
0	18.2
0	30.93
0	33.91
0	40.07
0	43.65
0	41.8
0	40.83
0	41.98
0	41.25
0	42.05
0	42.26
0	42.34
0	42.24
0	42.29
0	42.74
0	42.75
0	43
0	43.39
0	43.31
0	43.09
0	44.36
0	44.95
0	45.13
0	45.43
0	45.51
0	45.3
0	45.51
0	45.7
0	45.11
0	45.04
0	45.01
0	45.16
0	45.13
0	45.42
0	45.45
0	45.23
0	45.27
0	45.05
0	44.66
0	44.41
0	44.41
0	44.45
0	44.62
0	44.86
0	44.81
0	44.76
0	44.92
0	44.74
0	44.73
0	44.71
0	44.86
0	44.81
0	44.73
0	44.66
0	44.7
0	44.68
0	44.68
0	44.73
0	44.72
0	44.77
0	44.78
0	44.89
0	45.02
0	45.03
0	45.03
0	44.93
0	44.81
0	44.84
0	44.91
0	44.97
0	44.99
0	45.01
0	45.07
0	45.06
0	44.67
0	44.77
0	44.84
0	44.92
0	45
0	44.8
0	44.81
0	44.91
0	44.95
0	44.95
0	44.74
0	44.77
0	44.84
0	44.87
0	44.78
0	44.72
0	44.71
0	44.75
0	44.8
0	44.86
0	44.86
0	44.92
0	44.8
0	44.83
0	44.87
0	44.81
0	44.73
0	44.7
0	44.73
0	44.68
0	44.74
0	44.71
0	44.72
0	44.71
0	44.65
0	44.67
0	44.69
0	44.62
0	44.63
0	44.69
0	44.71
0	44.77
0	44.76
0	44.74
0	44.71
0	44.63
0	44.7
0	44.73
0	44.71
0	44.63
0	44.64
0	44.62
0	44.57
0	44.57
0	44.62
0	44.68
0	44.53
0	44.49
0	44.49
0	44.53
0	44.47
0	44.49
0	44.46
0	44.41
0	44.41
0	44.44
0	44.41
0	44.47
0	44.46
0	44.46
0	44.47
0	44.48
0	44.51
0	44.51
0	44.52
0	44.53
0	44.55
0	44.52
0	44.56
0	44.53
0	44.55
0	44.54
0	44.53
0	44.49
0	44.51
0	44.5
0	44.51
0	44.5
0	44.48
0	44.49
0	44.48
0	44.47
0	44.48
0	44.51
0	44.53
0	44.54
0	44.57
0	44.56
0	44.56
0	44.53
0	44.47
0	44.44
0	44.45
0	44.48
0	44.47
0	44.49
0	44.49
0	44.48
0	44.48
0	44.48
0	44.51
0	44.52
0	44.52
0	44.48
0	44.5
0	44.53
0	44.54
0	44.53
0	44.55
0	44.55
0	44.56
0	44.57
0	44.52
0	44.46
0	44.46
0	44.47
0	44.48
0	44.51
0	44.51
0	44.49
0	44.46
0	44.45
0	44.42
0	44.42
0	44.43
0	44.45
0	44.44
0	44.44
0	44.44
0	44.46
0	44.47
0	44.45
0	44.44
0	44.44
0	44.45
0	44.44
0	44.45
0	44.45
0	44.44
0	44.47
0	44.47
0	44.49
0	44.49
0	44.5
0	44.48
0	44.48
0	44.47
0	44.44
0	44.45
0	44.45
0	44.46
0	44.46
0	44.4
0	44.4
0	44.39
0	44.38
0	44.4
0	44.42
0	44.41
0	44.4
0	44.41
0	44.42
0	44.44
0	44.43
0	44.45
0	44.45
0	44.47
0	44.49
0	44.48
0	44.45
0	44.46
0	44.44
0	44.44
0	44.45
0	44.44
0	44.45
0	44.46
0	44.47
0	44.46
0	44.45
0	44.45
0	44.46
0	44.44
0	44.44
0	44.45
0	44.47
0	44.46
0	44.46
0	44.47
0	44.47
0	44.47
0	44.42
0	44.39
0	44.41
0	44.42
0	44.41
0	44.41
0	44.42
0	44.42
0	44.42
0	44.43
0	44.42
0	44.42
0	44.42
0	44.42
0	44.42
0	44.41
0	44.41
0	44.41
0	44.43
0	44.43
0	44.44
0	44.45
0	44.45
0	44.45
0	44.46
0	44.46
0	44.46
0	44.47
0	44.45
0	44.46
0	44.46
0	44.47
0	44.47
0	44.47
0	44.47
0	44.5
0	44.48
0	44.48
0	44.47
0	44.47
0	44.47
0	44.47
0	44.47
0	44.47
0	44.47
0	44.45
0	44.46
0	44.45
0	44.46
0	44.47
0	44.46
0	44.46
0	44.46
0	44.19
0	44.19
0	44.18
0	44.18
0	44.19
0	44.19
0	44.2
0	44.21
0	44.2
0	44.2
0	44.19
0	44.19
0	44.18
0	44.18
0	44.19
0	44.19
0	44.2
0	44.2
0	44.2
0	44.22
0	44.22
0	44.22
0	44.22
0	44.22
0	44.23
0	44.22
0	44.23
0	44.23
0	44.24
0	44.23
0	44.23
0	44.24
0	44.24
0	44.24
0	44.24
0	44.25
0	44.25
0	44.25
0	44.25
0	44.25
0	44.26
0	44.24
0	44.24
0	44.25
0	44.25
0	44.25
0	44.26
0	44.26
0	44.26
0	44.22
0	44.22
0	44.22
0	44.22
0	44.22
0	44.23
0	44.24
0	44.25
0	44.26
0	44.26
0	44.26
0	44.27
0	44.25
0	44.25
0	44.24
0	44.25
0	44.25
0	44.26
0	44.26
0	44.27
0	44.26
0	44.26
0	44.27
0	44.27
0	44.26
0	44.27
0	44.28
0	44.29
0	44.29
0	44.29
0	44.29
0	44.29
0	44.29
0	44.3
0	44.28
0	44.28
0	44.28
0	44.29
0	44.3
0	44.3
0	44.3
0	44.3
0	44.3
0	44.31
0	44.31
0	44.29
0	44.29
0	44.29
0	44.25
0	44.26
0	44.25
0	44.24
0	44.24
0	44.24
0	44.24
0	44.24
0	44.24
0	44.23
0	44.22
0	44.22
0	44.2
0	44.2
0	44.21
0	44.22
0	44.22
0	44.22
0	44.23
0	44.22
0	44.23
0	44.23
0	44.23
0	44.23
0	44.23
0	44.23
0	44.23
0	44.24
0	44.24
0	44.24
0	44.25
0	44.25
0	44.24
0	44.24
0	44.24
0	44.24
0	44.24
0	44.24
0	44.24
0	44.25
0	44.25
0	44.25
0	44.25
0	44.25
0	44.25
0	44.25
0	44.24
0	44.25
0	44.26
0	44.26
0	44.27
0	44.26
0	44.26
0	44.26
0	44.26
0	44.26
0	44.27
0	44.27
0	44.27
0	44.23
0	44.23
0	44.23
0	44.23
0	44.23
0	44.24
0	44.24
0	44.25
0	44.25
0	44.25
0	44.26
0	44.27
0	44.27
0	44.27
0	44.27
0	44.27
0	44.27
0	44.27
0	44.27
0	44.28
0	44.28
0	44.28
0	44.28
0	44.29
0	44.29
0	44.29
0	44.3
0	44.3
0	44.29
0	44.29
0	44.29
0	44.29
0	44.3
0	44.29
0	44.29
0	44.3
0	44.3
0	44.31
0	44.31
0	44.31
0	44.29
0	44.29
0	44.3
0	44.3
0	44.3
0	44.3
0	44.3
0	44.31
0	44.3
0	44.3
0	44.3
0	44.3
0	44.3
0	44.31
0	44.31
0	44.31
0	44.29
0	44.29
0	44.29
0	44.29
0	44.28
0	44.28
0	44.28
0	44.29
0	44.3
0	44.3
0	44.3
0	44.31
0	44.31
0	44.31
0	44.31
0	44.31
0	44.31
0	44.31
0	44.32
0	44.33
0	44.33
0	44.34
0	44.34
0	44.34
0	44.34
0	44.35
0	44.34
0	44.33
0	44.34
0	44.34
0	44.34
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.35
0	44.36
0	44.36
0	44.37
0	44.37
0	44.37
0	44.37
0	44.37
0	44.27
0	44.22
0	44.21
0	44.22
0	44.23
0	44.23
0	44.23
0	44.23
0	44.24
0	44.23
0	44.23
0	44.23
0	44.22
0	44.22
0	44.22
0	44.22
0	44.22
0	44.22
0	44.21
0	44.2
0	44.2
0	44.21
0	44.21
0	44.21
0	44.21
0	44.2
0	44.2
0	44.2
0	44.2
0	44.2
0	44.19
0	44.19
0	44.19
0	44.19
0	44.18
0	44.18
0	44.18
0	44.18
0	44.19
0	44.19
0	44.18
0	44.19
0	44.19
0	44.19
0	44.18
0	44.18
0	44.18
0	44.18
0	44.19
0	44.19
0	44.16
0	44.15
0	44.14
0	44.13
0	44.13
0	44.13
0	44.11
0	44.1
0	44.08
0	44.07
0	44.06
0	44.04
0	44.03
0	44.02
0	44
0	44
0	43.98
0	43.96
0	43.95
0	43.94
0	43.92
0	43.91
0	43.89
0	43.88
0	43.87
0	43.86
0	43.84
0	43.83
0	43.82
0	43.81
0	43.79
0	43.78
0	43.77
0	43.75
0	43.74
0	43.73
0	43.72
0	43.71
0	43.7
0	43.68
0	43.67
0	43.66
0	43.64
0	43.64
0	43.63
0	43.62
0	43.61
0	43.6
0	43.6
0	43.6
0	43.54
0	43.52
0	43.5
0	43.48
0	43.47
0	43.43
0	43.39
0	43.36
0	43.33
0	43.29
0	43.26
0	43.22
0	43.18
0	43.14
0	43.1
0	43.07
0	43.04
0	43.01
0	42.97
0	42.94
0	42.91
0	42.87
0	42.83
0	42.8
0	42.76
0	42.73
0	42.7
0	42.67
0	42.63
0	42.6
0	42.57
0	42.54
0	42.51
0	42.48
0	42.44
0	42.42
0	42.4
0	42.37
0	42.34
0	42.31
0	42.28
0	42.25
0	42.21
0	42.18
0	42.15
0	42.15
0	42.13
0	42.08
0	42.07
0	42.02
0	41.96
0	41.89
0	41.85
0	41.79
0	41.72
0	41.65
0	41.6
0	41.54
0	41.48
0	41.42
0	41.37
0	41.32
0	41.32
0	41.27
0	41.2
0	41.13
0	41.13
0	41.05
0	40.97
0	40.89
0	40.8
0	40.72
0	40.64
0	40.56
0	40.48
0	40.45
0	40.42
0	40.33
0	40.24
0	40.15
0	40.07
0	40.04
0	40.01
0	39.91
0	39.89
0	39.81
0	39.71
0	39.61
0	39.51
0	39.41
0	39.31
0	39.21
0	39.12
0	39.03
0	38.94
0	38.84
0	38.74
0	38.65
0	38.63
0	38.58
0	38.48
0	38.47
0	38.37
0	38.27
0	38.18
0	38.12
0	38.08
0	37.97
0	37.96
0	37.87
0	37.76
0	37.72
0	37.64
0	37.47
0	37.4
0	37.39
0	37.26
0	37.15
0	37.08
0	36.93
0	36.84
0	36.74
0	36.58
0	36.49
0	36.37
0	36.29
0	36.19
0	36.09
0	36
0	35.89
0	35.87
0	35.75
0	35.66
0	35.58
0	35.5
0	35.38
0	35.31
0	35.25
0	35.21
0	35.11
0	35.01
0	34.92
0	34.8
0	34.69
0	34.61
0	34.54
0	34.5
0	34.41
0	34.29
0	34.18
0	34.11
0	34.03
0	33.94
0	33.87
0	33.85
0	33.79
0	33.72
0	33.65
0	33.58
0	33.45
0	33.4
0	33.32
0	33.27
0	33.17
0	33.09
0	33.02
0	32.95
0	32.88
0	32.81
0	32.75
0	32.65
0	32.58
0	32.5
0	32.42
0	32.35
0	32.25
0	32.18
0	32.12
0	32.03
0	31.98
0	31.89
0	31.83
0	31.75
0	31.67
0	31.58
0	31.52
0	31.44
0	31.37
0	31.31
0	31.23
0	31.15
0	31.09
0	31.02
0	30.93
0	30.86
0	30.8
0	30.7
0	30.64
0	30.57
0	30.51
0	30.45
0	30.36
0	30.3
0	30.23
0	30.16
0	30.11
0	30.06
0	30
0	29.92
0	29.86
0	29.81
0	29.73
0	29.67
0	29.61
0	29.55
0	29.49
0	29.42
0	29.36
0	29.31
0	29.25
0	29.19
0	29.13
0	29.07
0	29.01
0	28.96
0	28.9
0	28.84
0	28.78
0	28.74
0	28.68
0	28.62
0	28.61
0	28.6
0	28.6
0	28.56
0	28.51
0	28.44
0	28.38
0	28.33
0	28.27
0	28.21
0	28.21
0	28.16
0	28.11
0	28.06
0	28
0	27.94
0	27.88
0	27.83
0	27.77
0	27.72
0	27.67
0	27.61
0	27.56
0	27.51
0	27.45
0	27.4
0	27.34
0	27.31
0	27.27
0	27.23
0	27.18
0	27.12
0	27.06
0	27.02
0	26.96
0	26.92
0	26.87
0	26.81
0	26.75
0	26.7
0	26.65
0	26.61
0	26.55
0	26.5
0	26.45
0	26.41
0	26.37
0	26.32
0	26.28
0	26.22
0	26.17
0	26.11
0	26.06
0	26.01
0	25.97
0	25.93
0	25.89
0	25.83
0	25.79
0	25.74
0	25.69
0	25.64
0	25.59
0	25.54
0	25.49
0	25.45
0	25.4
0	25.37
0	25.32
0	25.29
0	25.25
0	25.2
0	25.16
0	25.13
0	25.09
0	25.06
0	25.02
0	24.97
0	24.93
0	24.89
0	24.85
0	24.81
0	24.76
0	24.72
0	24.68
0	24.63
0	24.59
0	24.54
0	24.5
0	24.46
0	24.42
0	24.39
0	24.35
0	24.3
0	24.26
0	24.23
0	24.2
0	24.16
0	24.13
0	24.1
0	24.06
0	24.02
0	23.97
0	23.93
0	23.89
0	23.85
0	23.81
0	23.77
0	23.73
0	23.69
0	23.65
0	23.61
0	23.58
0	23.54
0	23.51
0	23.48
0	23.45
0	23.41
0	23.37
0	23.33
0	23.29
0	23.26
0	23.22
0	23.18
0	23.15
0	23.11
0	23.07
0	23.06
0	23.06
0	23.05
0	23.05
0	23.05
0	23.04
0	23.03
0	23.03
0	23.02
0	23.01
0	23
0	22.99
0	22.98
0	22.96
0	22.91
0	22.88
0	22.84
0	22.8
0	22.76
0	22.72
0	22.68
0	22.65
0	22.61
0	22.58
0	22.54
0	22.5
0	22.47
0	22.43
0	22.39
0	22.36
0	22.33
0	22.3
0	22.27
0	22.23
0	22.19
0	22.17
0	22.14
0	22.11
0	22.07
0	22.04
0	22.01
0	21.98
0	21.94
0	21.91
0	21.87
0	21.84
0	21.81
0	21.77
0	21.74
0	21.71
0	21.68
0	21.64
0	21.61
0	21.59
0	21.57
0	21.55
0	21.51
0	21.49
0	21.46
0	21.43
0	21.39
0	21.36
0	21.33
0	21.3
0	21.28
0	21.25
0	21.22
0	21.19
0	21.16
0	21.13
0	21.1
0	21.07
0	21.04
0	21.01
0	20.98
0	20.95
0	20.92
0	20.89
0	20.86
0	20.83
0	20.8
0	20.77
0	20.74
0	20.72
0	20.69
0	20.66
0	20.64
0	20.61
0	20.59
0	20.56
0	20.52
0	20.5
0	20.47
0	20.44
0	20.4
0	20.37
0	20.35
0	20.32
0	20.29
0	20.25
0	20.22
0	20.18
0	20.15
0	20.11
0	20.07
0	20.04
0	20
0	19.96
0	19.93
0	19.89
0	19.85
0	19.82
0	19.78
0	19.75
0	19.71
0	19.68
0	19.64
0	19.61
0	19.58
0	19.54
0	19.53
0	19.53
0	19.52
0	19.52
0	19.51
0	19.49
0	19.46
0	19.43
0	19.41
0	19.41
0	19.4
0	19.38
0	19.35
0	19.33
0	19.3
0	19.27
0	19.24
0	19.21
0	19.19
0	19.16
0	19.14
0	19.11
0	19.09
0	19.06
0	19.03
0	19.01
0	18.99
0	18.96
0	18.94
0	18.91
0	18.89
0	18.87
0	18.84
0	18.81
0	18.79
0	18.76
0	18.73
0	18.71
0	18.68
0	18.66
0	18.65
0	18.63
0	18.61
0	18.59
0	18.58
0	18.57
0	18.55
0	18.54
0	18.53
0	18.53
0	18.52
0	18.51
0	18.51
0	18.49
0	18.47
0	18.45
0	18.43
0	18.4
0	18.38
0	18.36
0	18.33
0	18.31
0	18.29
0	18.26
0	18.24
0	18.21
0	18.19
0	18.17
0	18.14
0	18.12
0	18.09
0	18.07
0	18.05
0	18.02
0	17.99
0	17.97
0	17.95
0	17.94
0	17.93
0	17.9
0	17.88
0	17.86
0	17.84
0	17.82
0	17.79
0	17.78
0	17.75
0	17.73
0	17.71
0	17.68
0	17.66
0	17.64
0	17.61
0	17.6
0	17.58
0	17.55
0	17.53
0	17.51
0	17.49
0	17.47
0	17.45
0	17.42
0	17.4
0	17.38
0	17.36
0	17.35
0	17.34
0	17.32
0	17.3
0	17.27
0	17.25
0	17.23
0	17.21
0	17.19
0	17.16
0	17.14
0	17.12
0	17.1
0	17.08
0	17.06
0	17.04
0	17.03
0	17.01
0	16.99
0	16.97
0	16.95
0	16.93
0	16.91
0	16.89
0	16.86
0	16.84
0	16.82
0	16.8
0	16.79
0	16.77
0	16.75
0	16.73
0	16.71
0	16.69
0	16.67
0	16.65
0	16.63
0	16.61
0	16.59
0	16.58
0	16.56
0	16.54
0	16.52
0	16.5
0	16.48
0	16.46
0	16.45
0	16.42
0	16.41
0	16.39
0	16.37
0	16.35
0	16.33
0	16.32
0	16.3
0	16.29
0	16.27
0	16.26
0	16.26
0	16.25
0	16.24
0	16.23
0	16.22
0	16.21
0	16.19
0	16.18
0	16.17
0	16.15
0	16.13
0	16.11
0	16.09
0	16.08
0	16.06
0	16.05
0	16.03
0	16.02
0	16.01
0	15.99
0	15.98
0	15.96
0	15.95
0	15.94
0	15.92
0	15.91
0	15.9
0	15.88
0	15.87
0	15.86
0	15.85
0	15.84
0	15.82
0	15.81
0	15.8
0	15.78
0	15.77
0	15.76
0	15.74
0	15.73
0	15.72
0	15.7
0	15.69
0	15.68
0	15.66
0	15.65
0	15.64
0	15.62
0	15.61
0	15.6
0	15.58
0	15.57
0	15.56
0	15.55
0	15.53
0	15.52
0	15.51
0	15.49
0	15.48
0	15.47
0	15.45
0	15.44
0	15.43
0	15.42
0	15.4
0	15.39
0	15.38
0	15.37
0	15.35
0	15.35
0	15.35
0	15.35
0	15.34
0	15.33
0	15.32
0	15.3
0	15.29
0	15.28
0	15.27
0	15.25
0	15.24
0	15.23
0	15.22
0	15.2
0	15.19
0	15.18
0	15.17
0	15.16
0	15.15
0	15.14
0	15.12
0	15.11
0	15.09
0	15.08
0	15.07
0	15.05
0	15.04
0	15.03
0	15.02
0	15
0	14.99
0	14.99
0	14.99
0	14.99
0	14.99
0	14.98
0	14.98
0	14.98
0	14.97
0	14.96
0	14.95
0	14.94
0	14.92
0	14.92
0	14.91
0	14.9
0	14.89
0	14.87
0	14.86
0	14.85
0	14.84
0	14.83
0	14.82
0	14.8
0	14.79
0	14.78
0	14.77
0	14.76
0	14.75
0	14.74
0	14.72
0	14.71
0	14.7
0	14.69
0	14.68
0	14.67
0	14.66
0	14.65
0	14.64
0	14.63
0	14.62
0	14.61
0	14.6
0	14.59
0	14.58
0	14.57
0	14.55
0	14.54
0	14.53
0	14.52
0	14.51
0	14.5
0	14.49
0	14.48
0	14.47
0	14.46
0	14.45
0	14.44
0	14.43
0	14.42
0	14.42
0	14.41
0	14.39
0	14.38
0	14.37
0	14.36
0	14.35
0	14.34
0	14.33
0	14.32
0	14.3
0	14.29
0	14.28
0	14.27
0	14.26
0	14.25
0	14.24
0	14.23
0	14.22
0	14.21
0	14.19
0	14.18
0	14.18
0	14.17
0	14.16
0	14.15
0	14.14
0	14.13
0	14.11
0	14.1
0	14.09
0	14.08
0	14.07
0	14.06
0	14.05
0	14.04
0	14.03
0	14.02
0	14.01
0	14
0	13.99
0	13.97
0	13.96
0	13.95
0	13.94
0	13.93
0	13.92
0	13.91
0	13.9
0	13.89
0	13.88
0	13.87
0	13.86
0	13.85
0	13.84
0	13.83
0	13.82
0	13.81
0	13.8
0	13.79
0	13.79
0	13.78
0	13.77
0	13.76
0	13.75
0	13.74
0	13.73
0	13.72
0	13.71
0	13.7
0	13.69
0	13.68
0	13.67
0	13.66
0	13.65
0	13.64
0	13.63
0	13.62
0	13.62
0	13.61
0	13.6
0	13.58
0	13.57
0	13.56
0	13.55
0	13.55
0	13.54
0	13.53
0	13.52
0	13.51
0	13.5
0	13.49
0	13.48
0	13.47
0	13.47
0	13.46
0	13.44
0	13.43
0	13.42
0	13.42
0	13.41
0	13.4
0	13.39
0	13.38
0	13.37
0	13.36
0	13.35
