# round trips	 doserror
0	-64.42
0	-64.7
0	-57.21
0	-59.2
0	-59.19
0	-59.96
0	-62.21
1	-72.27
1	-73.29
1	-75.01
2	-73.5
2	-74.07
3	-68.92
3	-69.11
3	-66.4
3	-64.93
3	-65.02
4	-64.93
4	-64.95
5	-62.76
5	-62.08
5	-60.71
6	-60.34
6	-60.4
6	-59.31
6	-58.91
6	-57.48
6	-56.88
6	-56.7
7	-55.49
7	-54.41
8	-54.56
8	-54.02
8	-53.2
9	-50.74
9	-50.64
9	-50.01
10	-49.94
10	-49.97
11	-49.06
12	-48.6
13	-48.08
13	-47.84
14	-46.84
15	-45.66
15	-45.5
16	-45.07
17	-44.6
18	-44.16
19	-43.65
20	-43.25
22	-42.24
23	-41.42
23	-40.93
24	-40.58
25	-40.26
26	-39.6
28	-38.72
29	-38.14
30	-37.47
31	-37.11
33	-36.7
34	-36.24
36	-35.97
36	-35.63
38	-35.21
38	-34.96
40	-34.28
41	-33.99
42	-33.76
44	-33.03
45	-32.58
48	-32.15
48	-31.87
49	-31.45
51	-31.13
52	-30.77
54	-30.31
56	-29.99
58	-29.66
60	-29.33
60	-29.13
61	-28.9
62	-28.58
64	-28.19
66	-28
67	-27.8
70	-27.42
72	-27.13
74	-26.73
75	-26.52
77	-26.32
77	-26.23
79	-25.87
80	-25.68
82	-25.45
82	-25.28
84	-25.07
87	-25.01
88	-24.79
89	-24.64
91	-24.39
93	-24.17
94	-23.64
94	-23.57
96	-23.36
97	-23.23
99	-23.18
101	-23.02
103	-22.83
104	-22.61
105	-22.56
106	-22.47
108	-22.27
110	-22.23
112	-22.01
114	-21.71
116	-21.6
118	-21.44
121	-21.16
123	-21.05
126	-20.88
128	-20.77
131	-20.66
134	-20.46
136	-20.3
137	-20.21
139	-20.04
141	-19.94
143	-19.82
145	-19.67
147	-19.61
148	-19.55
150	-19.52
152	-19.3
153	-19.26
155	-19.07
158	-18.95
160	-18.86
162	-18.69
164	-18.59
166	-18.52
168	-18.44
169	-18.32
171	-18.21
172	-18.12
174	-18.02
176	-17.88
177	-17.7
179	-17.62
181	-17.53
182	-17.2
183	-17.1
185	-17.03
187	-16.94
188	-16.88
189	-16.77
191	-16.68
192	-16.56
193	-16.54
195	-16.39
197	-16.27
199	-16.09
201	-16.06
204	-15.95
206	-15.86
207	-15.8
210	-15.75
212	-15.72
214	-15.66
216	-15.63
219	-15.62
221	-15.6
222	-15.58
224	-15.5
226	-15.42
228	-15.38
231	-15.28
233	-15.21
235	-15.15
237	-15.07
239	-14.97
241	-14.94
242	-14.89
243	-14.88
246	-14.84
248	-14.76
250	-14.67
251	-14.66
254	-14.54
256	-14.49
258	-14.35
260	-14.35
262	-14.27
264	-14.24
266	-14.2
268	-14.12
