# round trips	 doserror
0	32.58
0	29.71
0	27.03
0	26.78
0	25.85
0	22.13
0	22.22
0	18.05
0	16.08
0	16.95
0	12.56
0	12.97
0	11.15
0	9.544
0	8.776
0	6.316
0	6.403
0	6.534
0	7.621
0	7.155
0	6.548
0	4.6
0	4.746
0	5.576
0	5.192
0	4.76
0	4.64
0	4.846
0	4.512
0	4.363
0	5.46
0	5.203
0	5.116
0	5.117
0	4.841
0	4.378
0	4.102
0	4.119
0	3.959
0	3.848
0	3.601
0	3.225
0	3.179
0	2.826
0	2.833
0	2.719
0	2.731
0	2.429
0	2.262
0	2.276
0	2.282
0	1.942
0	1.985
0	1.975
0	1.856
0	2.053
0	1.894
0	1.82
0	1.84
0	1.799
0	1.629
0	1.568
0	2.066
0	2.22
0	2.18
0	2.006
0	1.99
0	1.979
0	1.908
0	1.742
0	1.821
0	1.756
0	2.761
0	2.766
0	2.797
0	2.724
0	2.694
0	2.593
0	2.584
0	2.571
0	2.611
0	2.688
0	2.644
0	2.673
0	2.593
0	2.606
0	2.648
0	2.584
0	2.559
0	2.522
0	2.421
0	2.396
0	2.367
0	2.321
0	2.318
0	2.325
0	2.303
0	2.263
0	2.34
0	2.356
0	2.264
0	2.265
0	2.22
0	2.255
0	2.197
0	2.176
0	2.134
0	2.133
0	2.065
0	2.022
0	2.028
0	1.954
0	1.937
0	1.915
0	1.931
0	1.92
0	1.869
0	1.857
0	1.823
0	1.843
0	1.787
0	1.806
0	2.068
0	2.072
0	2.041
0	2.027
0	2.017
0	1.956
0	1.938
0	1.911
0	1.893
0	1.875
0	1.85
0	1.835
0	1.813
0	1.807
0	1.818
0	1.786
0	1.775
0	2.145
0	2.15
0	2.14
0	2.154
0	2.166
0	2.145
0	2.133
0	2.121
0	2.149
0	2.122
0	2.121
0	2.108
0	2.11
0	2.11
0	2.107
0	2.122
0	2.095
0	2.092
0	2.11
0	2.105
0	2.108
0	2.102
0	2.114
0	2.096
0	2.108
0	2.06
0	2.059
0	2.049
0	2.027
0	2.033
0	2.025
0	1.959
0	1.939
0	1.924
0	1.913
0	1.901
0	1.825
0	1.809
0	1.808
0	1.788
0	1.808
0	1.797
0	1.795
0	1.775
0	1.762
0	1.744
0	1.732
0	1.738
0	1.746
0	1.759
0	1.741
0	1.728
0	1.723
0	1.727
0	1.706
0	1.698
0	1.7
0	1.69
0	1.688
0	1.674
0	1.679
0	1.672
0	1.678
0	1.675
0	1.671
0	1.661
0	1.641
0	1.635
0	1.618
0	1.618
0	1.613
0	1.604
0	1.591
0	1.597
0	1.576
0	1.579
0	1.576
0	1.588
0	1.579
0	1.562
0	1.556
0	1.571
0	1.582
0	1.557
0	1.569
0	1.559
0	1.559
0	1.545
0	1.525
0	1.517
0	1.513
0	1.515
0	1.509
0	1.51
0	1.504
0	1.478
0	1.471
0	1.465
0	1.462
0	1.462
0	1.565
0	1.584
0	1.585
0	1.584
0	1.582
0	1.584
0	1.586
0	1.588
0	1.588
0	1.581
0	1.573
0	1.553
0	1.551
0	1.556
0	1.548
0	1.56
0	1.567
0	1.56
0	1.554
0	1.563
0	1.565
0	1.56
0	1.545
0	1.565
0	1.554
0	1.552
0	1.544
0	1.542
0	1.549
0	1.55
0	1.548
0	1.551
0	1.543
0	1.54
0	1.545
0	1.547
0	1.551
0	1.532
0	1.532
