# round trips	 doserror
0	756.9
0	760.5
0	920.8
0	737.7
0	506.2
0	500.3
0	300
0	198.1
0	359.5
0	305
0	333.5
0	227.6
0	333.4
0	236.6
0	148.2
0	144
0	166.7
0	146
0	111.1
0	111.1
0	137.1
0	123.1
0	108.1
0	151.5
0	116.1
0	88.05
0	152.9
0	82.52
0	85.33
0	101.8
0	72.63
0	73.04
0	115.3
0	34.58
0	47.23
0	56.76
0	47
0	47
0	68.14
0	74.24
0	13.77
0	62.83
0	25.91
0	40.32
0	66.36
0	30.17
0	40.96
0	27.47
0	33.03
0	67.21
0	36.34
0	11.29
0	-3.521
0	23.79
0	16.62
0	39.91
0	44.89
0	24.46
0	26.95
0	30.53
0	37.45
0	12.62
0	16.38
0	22.23
0	11.1
0	2.831
0	4.932
0	-8.802
0	20.29
0	20.29
0	20.94
0	23.2
0	22.3
0	15.75
0	-5.906
0	36.92
0	36.29
0	22.94
0	46.38
0	1.998
0	11.9
0	12.37
0	-11.53
0	20.74
0	12.02
0	34.1
0	28.23
0	28.17
0	34.77
0	26.22
0	8.18
0	23.14
0	17.69
0	17.69
0	32.58
0	-9.138
0	9.427
0	16.29
0	-10.82
0	13.27
0	13.27
0	13.27
0	13.27
0	7.549
0	17.96
0	26.28
0	10.44
0	14.74
0	7.227
0	6.282
0	21.94
0	8.4
0	17.75
0	3.643
0	14.03
0	11.28
0	9.805
0	11.3
0	-1.685
0	21.26
0	21.23
0	2.663
0	20.62
0	18.13
0	20.9
0	-6.23
0	3.112
0	4.452
0	-1.858
0	11.97
0	20.55
0	8.399
0	22.69
0	28.22
0	9.586
0	8.238
0	10.55
0	8.536
0	-2.321
0	13.34
0	9.643
0	3.392
0	-0.5619
0	4.991
0	4.991
0	7.933
0	7.933
0	10.1
0	14.58
0	1.417
0	3.298
0	14.63
0	19.03
0	3.915
0	7.876
0	7.391
0	2.243
0	6.112
0	-3.387
0	6.504
0	12.37
0	13.19
0	-3.708
0	10.55
0	3.977
0	4.963
0	13.97
0	7.471
0	20.81
0	6.196
0	10.78
0	10.78
0	10.78
0	10.78
0	4.675
0	-4.026
0	11.62
0	8.801
0	3.047
0	5.409
0	9.703
0	13.49
0	10.8
0	-5.77
0	12.12
0	-7.681
0	21.22
0	7.475
0	8.808
0	4.3
0	3.534
0	11.41
0	5.116
0	9.302
0	15.69
0	20.84
0	5.235
