# round trips	 doserror
0	-528.9
0	-528.9
0	-528.9
0	-525.8
0	-518.8
0	-515.1
0	-502.2
0	-502.2
0	-500
0	-499.8
0	-499.6
0	-477
0	-476.8
0	-471.8
0	-471.7
0	-471.6
0	-460.9
0	-404.7
0	-404.5
0	-404.1
0	-403.9
0	-403.4
0	-403.3
0	-403
0	-403
0	-402.6
0	-402.6
0	-402.5
0	-402.4
0	-402.3
0	-402.2
0	-402.1
0	-401.9
0	-401.8
0	-401.8
0	-401.7
0	-392.8
0	-380.5
0	-347
0	-305.5
0	-278.2
0	-277.9
0	-277.9
0	-277.8
0	-277.7
0	-277.6
0	-277.5
0	-277.4
0	-259.4
0	-259.3
0	-259.3
0	-259.3
0	-259.2
0	-228.2
0	-228.2
0	-228.2
0	-228.1
0	-228
0	-228
0	-228
0	-228
0	-227.9
0	-227.9
0	-186.3
0	-186.2
0	-186.2
0	-186.2
0	-179.4
0	-179.3
0	-179.3
0	-179.2
0	-179.2
0	-179.1
0	-179.1
0	-175.1
0	-175.1
0	-175.1
0	-175
0	-175
0	-175
0	-175
0	-174.9
0	-174.9
0	-170.7
0	-170.7
0	-170.7
0	-150.3
0	-150.3
0	-136.3
0	-135.9
0	-135.8
0	-135.8
0	-135.8
0	-135.4
0	-112.6
0	-112.6
0	-112.6
0	-112.5
0	-112.5
0	-112.5
0	-111.8
0	-94.15
0	-94.12
0	-94.03
0	-93.22
0	-93.2
0	-83.64
0	-83.63
0	-83.61
0	-83.58
0	-83.57
0	-79.45
0	-79.44
0	-79.43
0	-79.29
0	-79.26
0	-79.24
0	-79.22
0	-79.2
0	-79.18
0	-79.16
0	-79.14
0	-79.12
0	-76.56
0	-72.53
0	-69.45
0	-69.44
0	-69.42
0	-69.41
0	-69.39
0	-69.38
0	-69.37
0	-69.35
0	-57.11
0	-57.09
0	-57.07
0	-56.46
0	-50.3
0	-50.28
0	-50.26
0	-50.24
0	-50.23
0	-46.02
0	-40.71
0	-39.79
0	-39.68
0	-35.16
0	-35.14
0	-35.13
0	-35.12
0	-35.11
0	-34.96
0	-34.95
0	-34.93
0	-34.92
0	-26.26
0	-26.24
0	-23.73
0	-21.77
0	-21.76
0	-21.75
0	-21.73
0	-21.72
0	-19.4
0	-19.4
0	-18.45
0	-16.98
0	-16.97
0	-16.96
0	-16.3
0	-16.29
0	-16.28
0	-15.8
0	-12.71
0	-12.49
0	-10.82
0	-10.81
0	-10.8
0	-10.79
0	-10.77
0	-10.76
0	-10.75
0	-9.956
0	-5.683
0	-5.656
0	-5.34
0	-5.318
0	-5.31
0	-1.643
0	0.8418
0	0.9847
0	1.021
0	1.026
0	1.04
0	1.014
0	1.029
0	1.035
0	1.035
0	1.043
0	1.049
0	1.064
0	1.076
0	1.084
0	1.091
0	1.1
0	1.11
0	1.118
0	1.128
0	1.137
0	1.145
0	1.151
0	1.152
0	1.154
0	1.163
0	1.168
0	1.171
0	1.179
0	1.189
0	1.194
0	1.203
0	1.207
0	1.213
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
0	1.216
