# round trips	 doserror
0	755.7
16	-203.1
18	-202.7
19	-204
20	-208
22	-204.8
23	-204.9
25	-205.4
28	-207.7
31	-207.5
34	-210.4
37	-212.1
42	-214
45	-211.8
50	-209.6
53	-204.9
57	-198.1
59	-190
61	-172.1
62	-156.3
63	-146.5
65	-132.8
65	-123.2
67	-117.1
68	-108.8
68	-98.16
69	-92.34
70	-89.88
72	-83.35
73	-79.39
74	-76.69
74	-69.94
74	-64.97
75	-62.85
76	-60.29
76	-57.92
77	-54.54
78	-52.43
78	-50.81
79	-47.22
79	-44.91
80	-43.37
81	-41.5
82	-39.89
83	-38.21
84	-36.87
85	-35.88
86	-35.95
86	-35.99
86	-36.01
86	-36.03
86	-36.04
86	-36.05
86	-36.06
86	-36.07
86	-36.08
86	-36.09
86	-36.09
86	-36.1
86	-36.11
86	-36.12
86	-36.12
86	-36.14
86	-36.14
86	-36.15
86	-36.16
86	-36.18
86	-36.19
86	-36.21
86	-36.21
86	-36.23
86	-36.23
86	-36.24
86	-36.25
86	-36.26
86	-36.25
86	-36.29
86	-36.27
86	-36.28
86	-36.28
86	-36.29
86	-36.28
86	-36.27
86	-36.25
86	-36.23
86	-36.21
86	-36.2
86	-36.14
86	-36.1
86	-36.04
86	-35.94
86	-35.89
86	-35.84
86	-35.75
86	-35.37
86	-35.3
86	-35.04
86	-35.01
86	-34.96
86	-34.87
86	-34.76
86	-34.68
86	-34.64
86	-34.53
86	-34.46
86	-34.37
86	-34.23
86	-34.1
86	-33.95
86	-33.88
86	-33.76
86	-33.68
86	-33.55
86	-33.42
86	-33.29
86	-33.18
86	-32.98
86	-32.87
86	-32.77
86	-32.55
86	-32.37
86	-32.1
86	-31.9
86	-31.28
86	-31.16
86	-30.86
86	-30.78
86	-30.59
86	-30.52
86	-30.35
86	-30.14
86	-30.05
86	-29.87
86	-28.96
86	-28.35
86	-28.06
86	-27.21
86	-26.65
86	-26.12
86	-25.81
86	-25.63
86	-25.59
86	-25.57
86	-25.52
86	-25.47
86	-25.29
86	-24.81
86	-24.66
86	-24.48
86	-24.46
86	-24.44
86	-24.41
86	-24.19
86	-23.91
86	-23.62
86	-23.56
86	-23.28
86	-22.98
86	-22.82
86	-22.45
86	-22.39
86	-22.35
86	-22.34
86	-22.31
86	-22.3
86	-22.09
86	-21.95
86	-21.93
86	-21.92
86	-21.9
86	-21.72
86	-21.42
86	-21.27
86	-21.25
86	-21.23
86	-21.22
86	-21.19
86	-21.04
86	-20.78
86	-20.76
86	-20.57
86	-20.42
86	-20.34
86	-20.33
86	-20.31
86	-20.27
86	-20.25
86	-20.24
86	-20.02
86	-19.78
86	-19.75
86	-19.74
86	-19.68
86	-19.64
86	-19.58
86	-19.31
86	-19.06
86	-19.05
86	-18.85
86	-18.39
86	-18.12
86	-17.84
86	-17.44
86	-17.33
86	-17.27
86	-17.1
86	-17.09
86	-17.08
86	-17.07
86	-17.01
86	-16.82
86	-16.52
86	-16.25
86	-16.16
86	-15.95
86	-15.83
86	-15.73
86	-15.62
86	-15.49
86	-15.39
86	-15.38
86	-15.37
86	-15.3
86	-15.14
86	-14.95
86	-14.76
