# round trips	 doserror
5	6.478
5	6.478
5	3.492
5	1.858
5	5.348
5	3.476
5	0.6404
5	0.5756
5	7.908
5	3.752
5	0.4072
2757	1.827
2757	-6.661
2757	2.197
2757	-2.408
2757	-0.08814
2757	-1.579
2757	0.8741
2757	1.753
2757	1.162
2757	-1.121
2757	0.6486
2757	0.1813
2757	-3.62
2757	-1.782
2757	0.8791
2757	0.6798
2757	0.6408
2757	-0.7907
2757	-1.754
2757	-1.933
2757	-0.9701
2757	-1.351
2757	-1.531
2757	-2.194
2757	-2.743
2757	-0.5892
2757	0.165
2757	-0.4575
2757	0.08884
2757	1.623
2757	0.4894
2757	-0.8897
2757	-0.664
2757	-1.7
2757	1.08
2757	0.4447
2757	-1.472
2757	-2.428
2757	-0.2259
2757	1.925
2757	0.9342
2757	0.5051
2757	0.505
2757	0.01206
2757	-0.761
2757	-0.3765
2757	-1.109
2757	0.7237
2757	-0.6304
2757	0.4738
2757	0.2743
2757	-0.2859
2757	0.5941
2757	-1.002
2757	-0.7913
2757	-0.1023
2757	0.3439
2757	0.4656
2757	-0.6616
2757	0.2649
2757	-0.2159
2757	0.229
2757	0.4759
2757	0.5197
2757	-0.06594
2757	-0.1353
2757	-0.2871
2757	-0.05615
2757	1.07
2757	1.053
2757	-0.5224
2757	-0.2749
2757	0.7435
2757	0.4104
2757	0.6617
2757	0.3554
2757	0.3155
2757	0.8857
2757	0.2529
2757	-0.1401
2757	-0.1671
2757	0.4234
2757	0.6721
2757	0.3585
2757	-0.3918
2757	0.6322
2757	-0.3576
2757	-0.5919
2757	0.3314
2757	-0.0912
2757	-0.05542
2757	0.03217
2757	-0.1899
2757	-0.003296
2757	-0.2239
2757	-0.1329
2757	-0.2093
2757	-0.02399
2757	0.02243
2757	-0.2718
2757	-0.05823
2757	-0.2103
2757	-0.8247
2757	-0.6086
2757	-0.4401
2757	0.257
2757	0.1072
2757	-0.1538
2757	0.09913
2757	-0.1983
2757	-0.1168
2757	-0.01077
2757	-0.1997
2757	-0.1959
2757	-0.2417
2757	-0.9527
2757	-1.006
2757	-0.4941
2757	0.7205
2757	0.8985
2757	0.09188
2757	0.5396
2757	-0.02019
2757	-0.4179
2757	0.0499
2757	0.08295
2757	0.1309
2757	0.08936
2757	0.3558
2757	0.1175
2757	-0.05549
2757	0.3171
2757	-0.09127
2757	0.2615
2757	0.0596
2757	0.168
2757	0.0778
2757	0.1069
2757	-0.2298
2757	0.2505
2757	0.4807
2757	-0.0065
2757	-0.6225
2757	-0.5854
2757	-0.2933
2757	-0.1581
2757	-0.1023
2757	0.1925
2757	0.0863
2757	0.3006
2757	0.3011
2757	-0.0983
2757	-0.1731
2757	-0.3782
2757	-0.01401
2757	0.01088
2757	0.08499
2757	0.178
2757	0.1951
2757	0.4028
2757	0.2942
2757	0.4706
2757	-0.07576
2757	-0.4357
2757	-0.166
2757	-0.234
2757	0.06007
2757	-0.1018
2757	-0.2583
2757	0.01432
2757	-0.03424
2757	0.08228
2757	-0.006965
2757	-0.03203
2757	-0.1208
2757	0.05833
2757	0.4992
2757	0.3706
2757	0.09109
2757	0.02598
2757	0.008015
2757	0.2473
2757	0.36
2757	0.2212
2757	-0.06159
2757	-0.08017
2757	-0.07604
2757	-0.1178
2757	-0.1484
2757	-0.0311
2757	0.01508
2757	-0.3728
2757	-0.2068
2757	-0.1343
2757	0.05278
2757	-0.1375
2757	-0.05315
2757	-0.08677
2757	-0.1303
2757	-0.1252
2757	-0.1312
2757	-0.2006
2757	-0.2592
2757	-0.1113
2757	0.09037
2757	-0.02348
2757	-0.01904
2757	-0.05467
2757	-0.2543
2757	-0.288
2757	-0.2828
2757	-0.1042
2757	0.151
2757	0.09715
2757	0.1565
2757	0.2038
2757	-0.04759
2757	-0.0476
2757	-0.1616
2757	0.0485
2757	0.1413
2757	0.1523
2757	0.4718
2757	0.4676
2757	0.2088
2757	-0.08761
2757	-0.1434
2757	0.05786
2757	0.005852
2757	0.2017
2757	0.2764
2757	0.07292
2757	0.249
2757	0.2009
2757	0.003065
2757	0.1983
2757	0.3452
2757	0.183
2757	0.09471
2757	0.031
2757	0.2762
2757	0.2034
2757	0.3528
2757	0.3592
2757	0.2148
2757	0.2659
2757	0.1631
2757	0.3791
2757	0.07618
2757	0.0245
2757	-0.1419
2757	-0.06899
2757	0.221
2757	0.1018
2757	0.1163
2757	0.3968
2757	0.3555
2757	0.2761
2757	0.3853
2757	0.2481
2757	0.1283
2757	0.07228
2757	0.005697
2757	-0.01023
2757	0.05574
2757	-0.1381
2757	-0.1395
2757	-0.2276
2757	-0.2276
2757	0.05973
2757	0.02457
2757	-0.04898
2757	-0.07631
2757	-0.1128
2757	-0.002541
