# round trips	 doserror
0	-54.75
0	-0.01507
0	-0.05991
0	-0.02607
0	-0.001578
0	-0.007696
0	0.02188
0	0.05738
0	0.01311
0	-0.01991
0	0.01871
0	0.07531
0	0.09309
0	0.1366
0	0.1354
0	0.08062
0	0.1068
0	0.1338
0	0.09773
0	0.09956
0	0.1143
0	0.1429
0	0.1541
0	0.1696
0	0.1599
0	0.147
0	0.1566
0	0.1342
0	0.1849
0	0.161
0	0.132
0	0.1287
0	0.1731
0	0.1639
0	0.1743
0	0.1755
0	0.1686
0	0.1402
0	0.1534
0	0.1837
0	0.1926
0	0.2024
0	0.2231
0	0.2177
0	0.2385
0	0.2374
0	0.2438
0	0.2253
0	0.2387
0	0.2287
0	0.2021
0	0.2136
0	0.2302
0	0.2306
0	0.2398
0	0.2381
0	0.2509
0	0.2498
0	0.2424
0	0.2613
0	0.2567
0	0.2612
0	0.2429
0	0.2493
0	0.2435
0	0.2482
0	0.2537
0	0.2574
0	0.2567
0	0.2606
0	0.2701
0	0.2488
0	0.2369
0	0.2378
0	0.2469
0	0.2491
0	0.2512
0	0.2536
0	0.2519
0	0.246
0	0.2473
0	0.2547
0	0.2522
0	0.2541
0	0.2655
0	0.264
0	0.2666
0	0.2722
0	0.2793
0	0.2741
0	0.2725
0	0.2794
0	0.2775
0	0.2795
0	0.2793
0	0.2698
0	0.2609
0	0.2624
0	0.264
0	0.2647
0	0.2589
0	0.265
0	0.2581
0	0.2582
0	0.2522
0	0.2565
0	0.2507
0	0.2492
0	0.2528
0	0.2508
0	0.2577
0	0.2647
0	0.267
0	0.2628
0	0.2666
0	0.2677
0	0.2674
0	0.267
0	0.2743
0	0.2755
0	0.282
0	0.2806
0	0.2748
0	0.2753
0	0.2758
0	0.2848
0	0.2823
0	0.2816
0	0.2817
0	0.281
0	0.2777
0	0.2751
0	0.2769
0	0.2705
0	0.2712
0	0.2687
0	0.2676
0	0.2623
0	0.2595
0	0.2588
0	0.2582
0	0.2544
0	0.2534
0	0.2521
0	0.2511
0	0.251
0	0.2502
0	0.2508
0	0.2484
0	0.248
0	0.2472
0	0.2469
0	0.2535
0	0.2513
0	0.2513
0	0.2489
0	0.2465
0	0.251
0	0.2466
0	0.2443
0	0.2472
0	0.2468
0	0.2484
0	0.2456
0	0.244
0	0.2444
0	0.2421
0	0.2422
0	0.2474
0	0.2447
0	0.2425
0	0.2413
0	0.2416
0	0.2417
0	0.2419
