# version: 0.0.0-88-g616c435-dirty
# well_width: 1.3
# ff: 0.3
# N: 13
# walls: 0
# cell dimensions: (5.662, 5.662, 5.662)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.0595692
# min_important_energy after initialization: 58

# histogram method: tmmc
# init_iter_limit: 16900000
# iterations: 16900000
# working moves: 114988555
# total moves: 219700000
# acceptance rate: 0.523389

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0.0967693
33  0.338955
34  0.717888
35  1.23391
36  1.87491
37  2.64249
38  3.5267
39  4.52714
40  5.63918
41  6.8597
42  8.17504
43  9.59318
44  11.1039
45  12.7041
46  14.402
47  16.192
48  18.074
49  20.0405
50  22.1
51  24.242
52  26.4514
53  28.7336
54  31.111
55  33.638
56  36.379
57  39.4123
58  43.0579
59  48.0579
60  53.0579
61  58.0579
62  63.0579
63  68.0579
64  73.0579
65  78.0579
66  83.0579
67  88.0579
68  93.0579
69  98.0579
70  103.058
71  108.058
