# version: unknown
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.1
# fractional_sample_error after initialization: 0.00720253
# min_important_energy after initialization: 66

# histogram method: tmmc
# pessimistic_min_samples: 1410065408
# iterations: 155850000
# working moves: 1092922227
# total moves: 2181900000
# acceptance rate: 0.500904

# min_important_energy: 66

# energy   counts
20  15
21  154
22  1376
23  9374
24  51720
25  232600
26  869163
27  2656859
28  6801889
29  14564817
30  26422211
31  40828512
32  54126641
33  61967326
34  61555336
35  61416180
36  61230126
37  61103747
38  61068064
39  60940040
40  60881251
41  60711436
42  60592120
43  60602645
44  60574537
45  60604578
46  60691066
47  60821582
48  60955722
49  61057017
50  61213348
51  61261287
52  61262159
53  61039345
54  60667780
55  60400691
56  60188761
57  59715384
58  59213450
59  58590578
60  58051225
61  57608159
62  56635702
63  56186826
64  55287627
65  54641782
66  56597792
