# version: 0.0.0-115-g9829181-dirty
# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.00739351
# min_important_energy after initialization: 73

# histogram method: oetmmc
# init_iter_limit: 22500000
# iterations: 22500000
# working moves: 154402791
# total moves: 337500000
# acceptance rate: 0.45749

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0.0262383
38  0.203821
39  0.518451
40  0.945521
41  1.48431
42  2.13324
43  2.88942
44  3.74683
45  4.69818
46  5.75337
47  6.88338
48  8.12851
49  9.4479
50  10.8427
51  12.3247
52  13.8901
53  15.5604
54  17.3026
55  19.1685
56  21.0735
57  22.9864
58  24.8938
59  27.431
60  29.8447
61  32.1351
62  34.6749
63  37.2066
64  39.9049
65  43.1072
66  46.1999
67  49.4147
68  52.7668
69  56.4236
70  60.4104
71  65.2698
72  70.1363
73  75.6275
74  80.6275
75  85.6275
76  90.6275
77  95.6275
78  100.627
79  105.627
80  110.627
81  115.627
82  120.627
83  125.627
