# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.129242
# min_important_energy after initialization: 72

# histogram method: tmmc
# pessimistic_min_samples: 3000000
# iterations: 3000000
# working moves: 20664387
# total moves: 45000000
# acceptance rate: 0.459209

# min_important_energy: 73

# energy   counts
24  16
25  146
26  624
27  2708
28  10021
29  31854
30  86745
31  197107
32  374199
33  606964
34  848994
35  1036372
36  1101853
37  1097714
38  1090893
39  1086947
40  1085119
41  1087407
42  1091694
43  1093588
44  1089928
45  1093926
46  1085813
47  1093131
48  1096607
49  1083560
50  1069215
51  1072270
52  1085363
53  1073488
54  1047823
55  1036825
56  1065208
57  1072255
58  1102994
59  1150719
60  1191950
61  1174505
62  1158975
63  1093790
64  1000571
65  1055011
66  1028690
67  958073
68  1062889
69  1111230
70  1006751
71  1197508
72  1415707
73  1024219
74  270041
