# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.1
# fractional_sample_error after initialization: 0.0507578
# min_important_energy after initialization: 74

# histogram method: tmmc
# pessimistic_min_samples: 100000000
# iterations: 100000000
# working moves: 697295349
# total moves: 1500000000
# acceptance rate: 0.464864

# min_important_energy: 74

# energy   counts
22  10
23  97
24  582
25  3752
26  20871
27  95216
28  354300
29  1122423
30  2964457
31  6618731
32  12573668
33  20552650
34  28945731
35  35418268
36  37861543
37  37753123
38  37633256
39  37535142
40  37503551
41  37426524
42  37355772
43  37284992
44  37276890
45  37294552
46  37214671
47  37216221
48  37221097
49  37218858
50  37263904
51  37275395
52  37302354
53  37284307
54  37335166
55  37327437
56  37243441
57  37312022
58  37224162
59  37268006
60  36999875
61  36603070
62  36645529
63  36494314
64  36077897
65  35034828
66  34647715
67  33660918
68  34538153
69  20149535
70  25081554
71  26258353
72  29825609
73  27167889
74  45511619
