# version: unknown
# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.0583569
# min_important_energy after initialization: 72

# histogram method: tmmc
# init_iter_limit: 15000000
# iterations: 15000000
# working moves: 103717932
# total moves: 225000000
# acceptance rate: 0.460969

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0.0635224
38  0.253765
39  0.56909
40  1.0005
41  1.54641
42  2.2005
43  2.9626
44  3.82366
45  4.78291
46  5.83607
47  6.98739
48  8.22723
49  9.55107
50  10.9646
51  12.4594
52  14.0384
53  15.6999
54  17.4471
55  19.2845
56  21.2171
57  23.2369
58  25.3793
59  27.6205
60  29.939
61  32.382
62  34.9481
63  37.6115
64  40.374
65  43.3368
66  46.4277
67  49.6683
68  53.2283
69  56.9861
70  61.1044
71  65.4928
72  70.359
73  75.359
74  80.359
75  85.359
76  90.359
77  95.359
78  100.359
79  105.359
80  110.359
81  115.359
82  120.359
83  125.359
