# well_width: 1.3
# ff: 0.3
# N: 17
# walls: 0
# cell dimensions: (6.19164, 6.19164, 6.19164)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.591787
# min_important_energy after initialization: 80

# histogram method: oetmmc
# none: 3000000
# iterations: 3000000
# working moves: 11441542
# total moves: 22617888
# acceptance rate: 0.505863

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0.0590396
43  0.244717
44  0.541875
45  0.963602
46  1.47553
47  2.09517
48  -1.66628
49  -0.975149
50  4.51141
51  5.49503
52  6.55406
53  7.69117
54  8.94147
55  10.242
56  11.6038
57  13.0729
58  14.5918
59  16.2104
60  17.8855
61  19.6558
62  21.5114
63  23.4541
64  25.5038
65  27.6086
66  29.8457
67  32.1923
68  32.6559
69  37.2931
70  39.9526
71  42.8402
72  45.8426
73  48.9334
74  52.4231
75  55.8873
76  59.497
77  63.1158
78  66.924
79  71.2562
80  75.634
81  78.966
82  83.966
83  88.966
84  93.966
85  98.966
86  103.966
87  108.966
88  113.966
89  118.966
90  123.966
91  128.966
92  133.966
93  138.966
94  143.966
95  148.966
