# version: unknown
# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.127337
# min_important_energy after initialization: 95

# histogram method: tmmc
# init_iter_limit: 20000000
# iterations: 20000000
# working moves: 190286616
# total moves: 400000000
# acceptance rate: 0.475717

# energy	samples
48  0
49  1085917
50  588122
51  382448
52  266418
53  192333
54  142519
55  108078
56  83377
57  65347
58  51916
59  41817
60  34014
61  27921
62  23165
63  19289
64  16181
65  13713
66  11695
67  9993
68  8550
69  7378
70  6372
71  5519
72  4781
73  4184
74  3690
75  3225
76  2846
77  2551
78  2272
79  2035
80  1805
81  1592
82  1383
83  1213
84  1044
85  870
86  727
87  601
88  470
89  363
90  275
91  204
92  131
93  94
94  65
95  60
96  49
97  3
