# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.1
# fractional_sample_error after initialization: 0.00223089

# histogram method: tmmc
# pessimistic_min_samples: 10000
# iterations: 100000000
# working moves: 864668860
# total moves: 2100000000
# acceptance rate: 0.411747

# energy   counts
33  1
34  27
35  129
36  530
37  2323
38  8669
39  30136
40  96192
41  270289
42  682821
43  1543437
44  3099636
45  5576194
46  8974102
47  12980982
48  16930779
49  19963411
50  21289446
51  21270566
52  21162605
53  21134451
54  21010166
55  20862316
56  21035281
57  21021267
58  21086274
59  21114176
60  21310431
61  21382775
62  21462760
63  21447888
64  21466672
65  21368876
66  21309834
67  20981233
68  20871120
69  20543418
70  20790260
71  21179673
72  21139468
73  21134666
74  21170157
75  21218083
76  21601449
77  21740295
78  21948175
79  21637377
80  21870750
81  21783959
82  22988653
83  23686503
84  23236990
85  23887947
86  25182530
87  29049224
88  32262433
89  35770890
90  40699754
91  45808439
92  49342577
93  54367675
94  58336396
95  73115245
96  81452558
97  89429826
98  105730428
99  128896615
100  129892428
101  134378635
102  135031182
103  6947547
