# version: unknown
# well_width: 1.3
# ff: 0.3
# N: 22
# walls: 0
# cell dimensions: (6.7473, 6.7473, 6.7473)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.1253
# min_important_energy after initialization: 108

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 22000000
# iterations: 22000000
# working moves: 225749481
# total moves: 484000000
# acceptance rate: 0.466425

# min_important_energy: 108

# energy   counts
34  7
35  1
36  5
37  25
38  159
39  857
40  2999
41  11495
42  35526
43  100050
44  246216
45  548097
46  1089315
47  1959985
48  3192557
49  4670560
50  6197157
51  7465941
52  8153386
53  8098786
54  8025008
55  8034006
56  7967412
57  7924085
58  7821418
59  7796291
60  7720147
61  7618173
62  7526100
63  7458942
64  7349768
65  7323371
66  7304051
67  7239819
68  7220935
69  7125416
70  7194873
71  7042595
72  6917070
73  6896441
74  6804163
75  6801684
76  6886294
77  6979826
78  7019806
79  7196336
80  7271976
81  7254325
82  7385123
83  7212666
84  7057263
85  7011613
86  7022721
87  6995785
88  6940734
89  7036321
90  7163924
91  7004853
92  6985225
93  6929655
94  7106078
95  7664603
96  8350392
97  9130510
98  10127615
99  10882664
100  10726501
101  10550170
102  9882991
103  9509065
104  9396136
105  9192609
106  9297387
107  9456322
108  9816584
109  8610237
110  2060798
