# version: 0.0.0-115-g9829181-dirty
# well_width: 1.3
# ff: 0.3
# N: 25
# walls: 0
# cell dimensions: (7.04102, 7.04102, 7.04102)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.00302145
# min_important_energy after initialization: 123

# histogram method: tmmc
# init_iter_limit: 62500000
# iterations: 62500000
# working moves: 725691219
# total moves: 1562500000
# acceptance rate: 0.464442

# energy	samples
60  0
61  3154156
62  1714228
63  1130604
64  804243
65  593408
66  448471
67  345521
68  270757
69  215488
70  174033
71  142033
72  117058
73  97352
74  81683
75  68842
76  58515
77  50138
78  43109
79  37167
80  32315
81  28292
82  24760
83  21839
84  19222
85  17071
86  15110
87  13507
88  12094
89  10892
90  9820
91  8836
92  7962
93  7213
94  6557
95  5992
96  5465
97  5000
98  4591
99  4209
100  3851
101  3539
102  3243
103  3015
104  2768
105  2537
106  2291
107  2056
108  1884
109  1666
110  1509
111  1329
112  1168
113  1042
114  950
115  853
116  762
117  680
118  587
119  514
120  437
121  361
122  305
123  225
124  146
125  50
