# well_width: 1.3
# ff: 0.3
# N: 9
# walls: 0
# cell dimensions: (3.84833, 3.84833, 8.48528)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 48
# min_T: 0.2
# fractional_sample_error after initialization: 0.187101
# min_important_energy after initialization: 28

# histogram method: tmmc
# none: 3000000
# iterations: 3000000
# working moves: 5602053
# total moves: 11078640
# acceptance rate: 0.505663

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0.21307
18  0.987655
19  2.35212
20  4.35857
21  7.08456
22  10.0312
23  12.8693
24  15.7558
25  18.8065
26  22.0776
27  25.8945
28  29.64
29  28.6679
30  33.6679
31  38.6679
32  43.6679
33  48.6679
34  53.6679
35  58.6679
36  63.6679
37  68.6679
38  73.6679
39  78.6679
40  83.6679
41  88.6679
42  93.6679
43  98.6679
44  103.668
45  108.668
46  113.668
47  118.668
