# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.317427
# min_important_energy after initialization: 73

# histogram method: oetmmc
# none: 3000000
# iterations: 3000000
# working moves: 20724421
# total moves: 45000000
# acceptance rate: 0.460543

# min_important_energy: 73

# energy   counts
24  9
25  86
26  562
27  2766
28  10374
29  33214
30  87438
31  193048
32  367689
33  605150
34  855187
35  1047395
36  1120008
37  1136824
38  1133710
39  1141465
40  1148198
41  1149467
42  1152661
43  1148213
44  1144869
45  1148901
46  1151698
47  1151675
48  1161731
49  426303
50  481111
51  1125504
52  870604
53  1152645
54  1138976
55  1103388
56  1100128
57  1105536
58  1101327
59  1111431
60  1135447
61  1157997
62  1145144
63  1136355
64  1123916
65  1113752
66  1150252
67  1190515
68  1233577
69  1268059
70  1277493
71  1399289
72  1485238
73  373609
74  66
