# version: 0.0.0-182-gdb69ef3-dirty
# well_width: 1.3
# ff: 0.3
# N: 17
# walls: 0
# cell dimensions: (6.19164, 6.19164, 6.19164)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.00442536
# min_important_energy after initialization: 80

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 28900000
# iterations: 28900000
# working moves: 230746195
# total moves: 491300000
# acceptance rate: 0.469665

# min_important_energy: 80

# energy   counts
27  4
28  128
29  795
30  3905
31  17576
32  63831
33  198472
34  534606
35  1244520
36  2508444
37  4399124
38  6722757
39  9015839
40  10671895
41  11167194
42  11161154
43  11208652
44  11265824
45  11362737
46  11380091
47  11423101
48  11483388
49  11342108
50  11349136
51  11268982
52  11285339
53  11213219
54  11148635
55  11074413
56  10915748
57  10784484
58  10718762
59  10624977
60  10625237
61  10472131
62  10557166
63  10401056
64  10212852
65  9922530
66  9656983
67  9372242
68  9108177
69  9017972
70  8895255
71  9541147
72  10113642
73  10326812
74  11371977
75  12460641
76  13987753
77  15640706
78  16229960
79  17353997
80  17607532
81  757057
82  94968
83  12367
