# version: 0.0.0-180-gcbcf83e-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.00542325
# min_important_energy after initialization: 90

# histogram method: tmmc
# init_iter_limit: 32400000
# iterations: 32400000
# working moves: 307420633
# total moves: 583200000
# acceptance rate: 0.527127

# min_important_energy: 90

# energy   counts
28  4
29  23
30  237
31  1301
32  5732
33  23377
34  82125
35  251701
36  667001
37  1542327
38  3133910
39  5574129
40  8729124
41  12061168
42  14761059
43  16052092
44  16072450
45  16100522
46  16109767
47  16105353
48  16098437
49  16081816
50  16036306
51  16026388
52  15937067
53  15873349
54  15775820
55  15701685
56  15690944
57  15712895
58  15617728
59  15520784
60  15404879
61  15305205
62  15243900
63  15197244
64  15168079
65  15210596
66  15233413
67  15149107
68  14993296
69  14933763
70  14901147
71  14784185
72  14598710
73  13464048
74  13207400
75  13586279
76  12576776
77  10375173
78  2141807
79  2158813
80  1238256
81  865796
82  86766
83  3293
84  5561
85  9366
86  6101
87  1552
88  2655
89  181
90  32
