# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.707046
# min_important_energy after initialization: 95

# histogram method: oetmmc
# none: 3000000
# iterations: 3000000
# working moves: 5137099
# total moves: 10896000
# acceptance rate: 0.471467

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0.0567558
50  -6.15561
51  -1.87918
52  0.825063
53  1.26965
54  1.80282
55  2.42621
56  3.13854
57  3.92582
58  4.80105
59  5.7401
60  4.50458
61  4.45232
62  9.02303
63  8.50568
64  9.05809
65  10.2306
66  10.0028
67  15.9124
68  17.4748
69  19.1079
70  20.7853
71  22.5208
72  24.3542
73  24.1245
74  26.4665
75  28.0146
76  30.4137
77  34.3767
78  36.5532
79  36.8522
80  41.0992
81  43.4991
82  45.9341
83  48.4536
84  51.006
85  53.6025
86  56.3076
87  58.994
88  61.7068
89  64.3794
90  66.9982
91  69.6106
92  72.2638
93  75.2225
94  78.5185
95  82.6034
96  90.2263
97  90.3748
98  95.3748
99  100.375
100  105.375
101  110.375
102  115.375
103  120.375
104  125.375
105  130.375
106  135.375
107  140.375
108  145.375
109  150.375
110  155.375
111  160.375
112  165.375
113  170.375
114  175.375
115  180.375
116  185.375
117  190.375
118  195.375
119  200.375
