# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.1
# fractional_sample_error after initialization: 0.090103

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# none: 200
# iterations: 10000000000
# working moves: 88174566307
# total moves: 200000000000
# acceptance rate: 0.440873

# energy   counts
29  2
30  10
31  131
32  1350
33  8726
34  50639
35  252750
36  1095279
37  4158528
38  13828763
39  40363744
40  103903974
41  236658128
42  478121943
43  858876209
44  1376088902
45  1970536136
46  2528304430
47  2914784203
48  3026213221
49  3031702677
50  3030119868
51  3031708615
52  3020254493
53  3001029087
54  2982707269
55  2961092029
56  2950658315
57  2934805218
58  2908353552
59  2881647476
60  2880348326
61  2880521297
62  2867971399
63  2864791630
64  2866115909
65  2884532062
66  2879166457
67  2932583276
68  2913119916
69  2955471690
70  2939577287
71  2940967504
72  2920342609
73  2938855417
74  2943103392
75  2966894762
76  2980902694
77  3012494062
78  3061120483
79  3081898188
80  3126178492
81  3152681580
82  3156767962
83  3177602528
84  3184216811
85  3242481511
86  3461109175
87  3847679874
88  4648514221
89  5488268175
90  6164620008
91  6627690031
92  6889875064
93  7044480297
94  7184902574
95  7279075924
96  7167847227
97  10019918853
98  57758369
99  60067543
100  20159754
