# version: 0.0.0-2192-gf1e731df-dirty
# seed: 5904706408274517152
# well_width: 1.3
# ff: 0.3
# N: 50
# walls: 0
# cell dimensions: (8.87113, 8.87113, 8.87113)
# translation_scale: 0.1
# energy_levels: 451
# min_T: 0.2
# max_entropy_state: 120
# min_important_energy: 267
# too_high_energy: -1
# too_low_energy: -1

# WL Factor: 1.39434e-08
# iterations: 143436694800
# working moves: 1730757189391
# total moves: 7171834740000
# acceptance rate: 0.241327

# converged state: 274
# converged temperature: 0.109236

# energy	lndos	ps	lndos_tm
0	-8137.575649	0	-377.174
1	-8137.575649	0	-377.174
2	-8137.575649	0	-377.174
3	-8137.575649	0	-377.174
4	-8137.575649	0	-377.174
5	-8137.575649	0	-377.174
6	-8137.575649	0	-377.174
7	-8137.575649	0	-377.174
8	-707.913243	0	-377.174
9	-364.3341542	0	-361.103
10	-345.6220638	0	-346.573
11	-336.4583044	0	-336.669
12	-327.8465555	0	-327.84
13	-319.9731645	0	-319.911
14	-312.5280195	0	-312.47
15	-305.4032146	0	-305.375
16	-298.6080319	0	-298.583
17	-292.0728992	0	-292.048
18	-285.7588529	0	-285.715
19	-279.5910743	0	-279.529
20	-273.5061472	0	-273.445
21	-267.4951358	0	-267.428
22	-261.5321358	0	-261.463
23	-255.6225519	0	-255.554
24	-249.7802818	0	-249.715
25	-244.0237692	0	-243.964
26	-238.3641009	0	-238.309
27	-232.8099299	0	-232.754
28	-227.3413584	0	-227.298
29	-221.9731449	0	-221.94
30	-216.7001502	0	-216.673
31	-211.5200615	0	-211.494
32	-206.4175907	0	-206.392
33	-201.3820774	0	-201.361
34	-196.3971866	0	-196.388
35	-191.4778658	0	-191.463
36	-186.5822915	0	-186.575
37	-181.7173845	0	-181.716
38	-176.8823529	0	-176.884
39	-172.0833416	0	-172.083
40	-167.3227593	0	-167.319
41	-162.61084	0	-162.604
42	-157.9503821	0	-157.946
43	-153.3600342	0	-153.354
44	-148.8416615	0	-148.832
45	-144.3951729	0	-144.384
46	-140.0230536	0	-140.013
47	-135.7353716	0	-135.723
48	-131.5207866	0	-131.511
49	-127.3883825	0	-127.381
50	-123.3369675	0	-123.331
51	-119.3687073	0	-119.361
52	-115.4801693	0	-115.471
53	-111.6685502	0	-111.661
54	-107.939	0	-107.931
55	-104.2875865	0	-104.278
56	-100.7124974	0	-100.704
57	-97.21586637	0	-97.2059
58	-93.79458565	0	-93.7845
59	-90.44669232	0	-90.4385
60	-87.17314665	0	-87.1671
61	-83.97486724	0	-83.9691
62	-80.84982952	0	-80.844
63	-77.79627258	0	-77.7909
64	-74.81537876	1	-74.8088
65	-71.90502434	1	-71.8967
66	-69.06275988	1	-69.0541
67	-66.28898363	1	-66.2801
68	-63.58250241	1	-63.5736
69	-60.94108911	1	-60.9338
70	-58.36721106	1	-58.3603
71	-55.85886949	1	-55.8521
72	-53.41576734	1	-53.4083
73	-51.03686934	1	-51.0283
74	-48.72092054	1	-48.7112
75	-46.46699602	1	-46.4563
76	-44.27323554	1	-44.2631
77	-42.14002416	1	-42.1307
78	-40.06750841	1	-40.0584
79	-38.05481446	1	-38.0456
80	-36.10012099	1	-36.0917
81	-34.20440218	1	-34.1961
82	-32.36610771	1	-32.358
83	-30.58386036	1	-30.5768
84	-28.85849776	1	-28.852
85	-27.18959163	1	-27.183
86	-25.57481634	1	-25.5692
87	-24.01541803	1	-24.01
88	-22.51014387	1	-22.5049
89	-21.058093	1	-21.0533
90	-19.65927964	1	-19.6546
91	-18.31218092	1	-18.3085
92	-17.01777476	1	-17.0142
93	-15.77434365	1	-15.7714
94	-14.58301368	1	-14.5795
95	-13.44108253	1	-13.4381
96	-12.34959325	1	-12.3466
97	-11.30746939	1	-11.3047
98	-10.31413625	1	-10.3117
99	-9.369363644	1	-9.36736
100	-8.473504055	1	-8.47109
101	-7.62477275	1	-7.62253
102	-6.822738959	1	-6.8212
103	-6.068207966	1	-6.06667
104	-5.360105765	1	-5.35846
105	-4.697697246	1	-4.69623
106	-4.080486307	1	-4.07953
107	-3.508949586	1	-3.50793
108	-2.981835114	1	-2.98107
109	-2.499091521	1	-2.49847
110	-2.060876859	1	-2.05979
111	-1.665228537	1	-1.66461
112	-1.313155553	1	-1.31254
113	-1.003454193	1	-1.00321
114	-0.7360218462	1	-0.736097
115	-0.5106156267	1	-0.510938
116	-0.3275587774	1	-0.327344
117	-0.1849551383	1	-0.184806
118	-0.08342366678	1	-0.0830433
119	-0.02161794726	1	-0.0215505
120	0	1	0
121	-0.01831005526	2502520713	-0.0180325
122	-0.07567460109	1388932536	-0.0752132
123	-0.1716741329	944121895	-0.171082
124	-0.3063393409	703683230	-0.305384
125	-0.4789992455	549190162	-0.477605
126	-0.6884994687	439591462	-0.687413
127	-0.9355062612	357700741	-0.934328
128	-1.218645739	294783359	-1.21797
129	-1.538719351	245549586	-1.5379
130	-1.894840212	206511980	-1.89369
131	-2.286626981	175183707	-2.28496
132	-2.713814783	149778513	-2.71123
133	-3.175309722	129000257	-3.17198
134	-3.670134811	111836430	-3.66701
135	-4.199163038	97547889	-4.19564
136	-4.760753033	85559515	-4.75752
137	-5.356342217	75435961	-5.35212
138	-5.983836682	66827470	-5.97901
139	-6.642515271	59469244	-6.6377
140	-7.332589449	53142113	-7.32769
141	-8.054540011	47667075	-8.0485
142	-8.80554801	42910412	-8.79966
