# version: 0.0.0-205-g2032787-dirty
# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 1
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 51

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N12-tmmc-golden-transitions.dat
# iterations: 0
# working moves: 0
# total moves: 0
# acceptance rate: -nan

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0.025482
27  0.263551
28  0.717433
29  1.39033
30  2.28226
31  3.39051
32  4.70554
33  6.20968
34  7.87534
35  9.67053
36  11.5681
37  13.5546
38  15.625
39  17.7784
40  20.0179
41  22.3592
42  24.8296
43  27.4632
44  30.2595
45  33.3031
46  38.3031
47  43.3031
48  48.3031
49  53.3031
50  58.3031
51  63.3031
52  68.3031
53  73.3031
54  78.3031
55  83.3031
56  88.3031
57  93.3031
58  98.3031
59  103.303
60  108.303
61  113.303
62  118.303
63  123.303
64  128.303
65  133.303
66  138.303
67  143.303
68  148.303
69  153.303
70  158.303
71  163.303
