# version: 0.0.0-135-ga62a855-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 1
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.0142402
# min_important_energy after initialization: 76

# histogram method: simple flat
# init_iter_limit: 25600000
# iterations: 25600000
# working moves: 168373065
# total moves: 409600000
# acceptance rate: 0.411067

# min_important_energy: 76

# energy   counts
23  12
24  3
25  11
26  63
27  526
28  3177
29  14749
30  54889
31  174611
32  473345
33  1080995
34  2117812
35  3594982
36  5312572
37  6852302
38  7741242
39  7733969
40  7691605
41  7655787
42  7648017
43  7655165
44  7639783
45  7634036
46  7595483
47  7556322
48  7580635
49  7593977
50  7546051
51  7546314
52  7590122
53  7611832
54  7641233
55  7672304
56  7663837
57  7718227
58  7726166
59  7647718
60  7736706
61  7824274
62  7844844
63  7885340
64  7906030
65  8029775
66  8251856
67  8474087
68  8892244
69  9314461
70  10344613
71  12234870
72  15275968
73  16402960
74  15953451
75  16104728
76  21478138
77  19155350
78  10088904
79  2495394
80  136133
