# version: 0.0.0-205-g2032787-dirty
# well_width: 1.3
# ff: 0.3
# N: 22
# walls: 0
# cell dimensions: (6.7473, 6.7473, 6.7473)
# seed: 1
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00267974
# min_important_energy after initialization: 108

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 48400000
# iterations: 48400000
# working moves: 500356458
# total moves: 1064800000
# acceptance rate: 0.469907

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0
50  0
51  0
52  0
53  0.0137334
54  0.114487
55  0.299417
56  0.570687
57  0.918832
58  1.36132
59  1.89318
60  2.50183
61  3.17376
62  3.93745
63  4.77157
64  5.67374
65  6.64416
66  7.69134
67  8.79041
68  9.95733
69  11.2003
70  12.482
71  13.8275
72  15.2259
73  16.6625
74  18.1631
75  19.7113
76  21.3205
77  22.9806
78  24.6821
79  26.4228
80  28.2073
81  30.0532
82  31.9155
83  33.7998
84  35.7445
85  37.7347
86  39.7798
87  41.8554
88  43.9728
89  46.1455
90  48.3694
91  50.6157
92  52.9193
93  55.2052
94  57.5439
95  59.8822
96  62.2599
97  64.6858
98  67.2175
99  69.8467
100  72.6219
101  75.4951
102  78.5601
103  81.7206
104  85.0021
105  88.4528
106  92.1797
107  96.0722
108  100.51
109  105.51
110  110.51
111  115.51
112  120.51
113  125.51
114  130.51
115  135.51
116  140.51
117  145.51
118  150.51
119  155.51
120  160.51
121  165.51
122  170.51
123  175.51
124  180.51
125  185.51
126  190.51
127  195.51
128  200.51
129  205.51
130  210.51
131  215.51
