# version: 0.0.0-180-gcbcf83e-dirty
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.0100585
# min_important_energy after initialization: 66

# histogram method: oetmmc
# init_iter_limit: 19600000
# iterations: 19600000
# working moves: 137492036
# total moves: 274400000
# acceptance rate: 0.501064

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0.120464
36  0.391645
37  0.787306
38  1.30626
39  1.93733
40  2.68587
41  3.54327
42  4.50711
43  5.5582
44  6.66743
45  7.98634
46  9.3171
47  10.7106
48  12.2232
49  13.901
50  15.6591
51  17.307
52  18.6163
53  20.9809
54  22.9764
55  25.2537
56  27.4895
57  29.5629
58  30.8979
59  33.075
60  35.5311
61  38.6282
62  41.8438
63  44.748
64  48.0954
65  51.619
66  56.847
67  61.847
68  66.847
69  71.847
70  76.847
71  81.847
72  86.847
73  91.847
74  96.847
75  101.847
76  106.847
77  111.847
78  116.847
79  121.847
80  126.847
81  131.847
82  136.847
83  141.847
