# version: 0.0.0-138-g2c17df3-dirty
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.0121255
# min_important_energy after initialization: 65

# histogram method: simple flat
# init_iter_limit: 19600000
# iterations: 19600000
# working moves: 48490081
# total moves: 95852792
# acceptance rate: 0.505881

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0.14083
36  0.410643
37  0.811358
38  1.3334
39  1.97304
40  2.72666
41  3.59708
42  4.57018
43  5.64266
44  6.80906
45  8.07453
46  9.43714
47  10.8779
48  12.4103
49  14.0344
50  15.7335
51  17.5117
52  19.3875
53  21.332
54  23.35
55  25.4534
56  27.6007
57  29.8009
58  32.0711
59  34.4118
60  36.8605
61  39.4573
62  42.2549
63  45.3264
64  48.8216
65  52.9187
66  57.9187
67  62.9187
68  67.9187
69  72.9187
70  77.9187
71  82.9187
72  87.9187
73  92.9187
74  97.9187
75  102.919
76  107.919
77  112.919
78  117.919
79  122.919
80  127.919
81  132.919
82  137.919
83  142.919
