# version: 0.0.0-181-gc332745-dirty
# well_width: 1.3
# ff: 0.3
# N: 27
# walls: 0
# cell dimensions: (7.22399, 7.22399, 7.22399)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 0.00779482
# min_important_energy after initialization: 133

# histogram method: tmmc
# init_iter_limit: 72900000
# iterations: 72900000
# working moves: 1004930738
# total moves: 1968300000
# acceptance rate: 0.510558

# energy	samples
63  0
64  4848746
65  2760142
66  1863594
67  1348452
68  1008472
69  772215
70  601646
71  476372
72  382270
73  310463
74  255426
75  211742
76  177729
77  149899
78  127635
79  109291
80  94040
81  81660
82  71260
83  62282
84  54688
85  48285
86  42837
87  38083
88  34029
89  30455
90  27201
91  24312
92  21885
93  19735
94  17798
95  16119
96  14632
97  13261
98  12117
99  11069
100  10054
101  9204
102  8441
103  7786
104  7182
105  6639
106  6127
107  5657
108  5217
109  4827
110  4457
111  4118
112  3823
113  3516
114  3244
115  2979
116  2757
117  2540
118  2297
119  2037
120  1806
121  1594
122  1384
123  1212
124  1035
125  841
126  652
127  477
128  342
129  224
130  105
131  65
132  35
133  23
134  7
