# version: 0.0.0-138-g2c17df3-dirty
# well_width: 1.3
# ff: 0.3
# N: 22
# walls: 0
# cell dimensions: (6.7473, 6.7473, 6.7473)
# seed: 4
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00944236
# min_important_energy after initialization: 108

# histogram method: simple flat
# init_iter_limit: 48400000
# iterations: 48400000
# working moves: 486682437
# total moves: 1064800000
# acceptance rate: 0.457065

# min_important_energy: 108

# energy   counts
35  5
36  16
37  107
38  436
39  1751
40  6583
41  22816
42  70453
43  193378
44  476767
45  1067389
46  2133708
47  3826600
48  6208171
49  9097977
50  12077167
51  14509951
52  15860898
53  15777174
54  15763914
55  15772705
56  15810015
57  15798772
58  15805007
59  15783178
60  15760698
61  15783123
62  15782938
63  15811997
64  15796301
65  15792596
66  15793162
67  15784554
68  15798913
69  15810695
70  15842770
71  15881753
72  15913927
73  15955530
74  15975252
75  15979064
76  15987476
77  15999687
78  15988606
79  15933083
80  15848137
81  15792990
82  15752380
83  15765399
84  15662046
85  15655907
86  15683367
87  15788070
88  15820562
89  16003454
90  16144310
91  16265636
92  16445898
93  16536964
94  16700607
95  16966944
96  17239040
97  17655444
98  18452483
99  19286824
100  20551296
101  21976572
102  23360770
103  24654293
104  25167606
105  25406325
106  24999382
107  24675877
108  24488445
109  21400864
110  5215045
