# version: 0.0.0-180-gcbcf83e-dirty
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 5
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.00681465
# min_important_energy after initialization: 65

# histogram method: tmmc
# init_iter_limit: 19600000
# iterations: 19600000
# working moves: 137847458
# total moves: 274400000
# acceptance rate: 0.50236

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0.00833943
35  0.151839
36  0.426735
37  0.82851
38  1.35137
39  1.9941
40  2.75104
41  3.61541
42  4.58559
43  5.6548
44  6.81898
45  8.07852
46  9.43117
47  10.8693
48  12.3928
49  14.001
50  15.6959
51  17.4669
52  19.3238
53  21.2631
54  23.2792
55  25.3291
56  27.4896
57  29.6778
58  31.9459
59  34.2671
60  36.6859
61  39.248
62  42.0349
63  44.8865
64  47.745
65  51.8631
66  56.8631
67  61.8631
68  66.8631
69  71.8631
70  76.8631
71  81.8631
72  86.8631
73  91.8631
74  96.8631
75  101.863
76  106.863
77  111.863
78  116.863
79  121.863
80  126.863
81  131.863
82  136.863
83  141.863
