# version: 0.0.0-176-g06e7d48-dirty
# well_width: 1.3
# ff: 0.3
# N: 10
# walls: 0
# cell dimensions: (4.05649, 4.05649, 8.48528)
# seed: 6
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.0512612
# min_important_energy after initialization: 37

# histogram method: simple flat
# init_iter_limit: 10000000
# iterations: 10000000
# working moves: 4211028
# total moves: 8904970
# acceptance rate: 0.472885

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0.13482
21  0.618225
22  1.48294
23  2.72557
24  4.33331
25  6.2211
26  8.30453
27  10.4857
28  12.6757
29  14.9647
30  17.3292
31  19.8487
32  22.6615
33  26.0898
34  29.6298
35  34.5736
36  38.1503
37  42.7883
38  115.767
39  115.767
40  115.767
41  115.767
42  115.767
43  115.767
44  115.767
45  115.767
46  115.767
47  115.767
48  115.767
49  115.767
50  115.767
51  115.767
52  115.767
53  115.767
54  115.767
55  115.767
56  115.767
57  115.767
58  115.767
59  115.767
