# version: 0.0.0-181-gc332745-dirty
# well_width: 1.3
# ff: 0.3
# N: 19
# walls: 0
# cell dimensions: (6.4255, 6.4255, 6.4255)
# seed: 6
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.0100241
# min_important_energy after initialization: 89

# histogram method: tmmc
# init_iter_limit: 36100000
# iterations: 36100000
# working moves: 356902192
# total moves: 685900000
# acceptance rate: 0.520341

# min_important_energy: 89

# energy   counts
30  9
31  46
32  252
33  1279
34  6116
35  22988
36  81170
37  242081
38  635925
39  1461425
40  2972566
41  5329869
42  8477477
43  11970546
44  15087590
45  16973560
46  17150565
47  17134490
48  17112769
49  17106982
50  17077280
51  17065554
52  17040754
53  17074059
54  17098664
55  17167613
56  17197690
57  17241970
58  17328965
59  17402732
60  17429266
61  17422599
62  17425728
63  17443224
64  17505373
65  17446939
66  17368380
67  17394597
68  17415688
69  17360729
70  17346602
71  17238545
72  17020785
73  16501652
74  16645423
75  15813262
76  15636880
77  14788524
78  11461456
79  11464516
80  10953755
81  10342135
82  7806008
83  7861463
84  7227507
85  5320818
86  3410571
87  444210
88  694467
89  164135
90  76258
91  5519
