# version: 0.0.0-205-g2032787-dirty
# well_width: 1.3
# ff: 0.3
# N: 26
# walls: 0
# cell dimensions: (7.13368, 7.13368, 7.13368)
# seed: 6
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 129

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N26-tmmc-golden-transitions.dat
# iterations: 67600000
# working moves: 826186668
# total moves: 1757600000
# acceptance rate: 0.470065

# energy	samples
63  0
64  3539951
65  1916990
66  1263348
67  899892
68  664353
69  503216
70  388690
71  305465
72  243862
73  197258
74  161183
75  133307
76  111062
77  93351
78  78955
79  67223
80  57497
81  49626
82  43043
83  37654
84  32989
85  29065
86  25701
87  22712
88  20209
89  17991
90  16139
91  14461
92  13037
93  11784
94  10595
95  9554
96  8643
97  7875
98  7171
99  6542
100  6002
101  5500
102  5069
103  4680
104  4318
105  3973
106  3655
107  3369
108  3086
109  2842
110  2623
111  2405
112  2201
113  2016
114  1841
115  1692
116  1516
117  1372
118  1229
119  1091
120  966
121  861
122  746
123  648
124  553
125  458
126  358
127  276
128  202
129  124
130  59
131  38
132  28
