# version: 0.0.0-176-g06e7d48-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 7
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.0104194
# min_important_energy after initialization: 77

# histogram method: simple flat
# init_iter_limit: 25600000
# iterations: 25600000
# working moves: 175863618
# total moves: 409600000
# acceptance rate: 0.429355

# min_important_energy: 77

# energy   counts
25  8
26  132
27  684
28  3639
29  16518
30  61960
31  195345
32  525118
33  1203273
34  2370409
35  4017547
36  5933222
37  7643784
38  8639244
39  8595656
40  8602720
41  8586567
42  8601840
43  8573583
44  8578551
45  8552158
46  8551540
47  8523357
48  8500928
49  8487681
50  8443799
51  8389412
52  8284960
53  8227516
54  8235572
55  8253365
56  8215155
57  8272567
58  8259632
59  8219619
60  8231042
61  8226803
62  8262354
63  8310135
64  8321620
65  8395777
66  8358112
67  8489043
68  8695053
69  8816360
70  8915345
71  9468519
72  10986450
73  12710586
74  13765339
75  14768144
76  16289317
77  18535298
78  9708073
79  2693928
80  85641
