# version: 0.0.0-273-g79ef90c-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 8
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00711293
# min_important_energy after initialization: 113

# histogram method: oetmmc
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 654132900
# total moves: 1216700000
# acceptance rate: 0.537629

# min_important_energy: 113

# energy   counts
37  16
38  54
39  240
40  895
41  3501
42  13521
43  45817
44  138881
45  372183
46  907402
47  1986417
48  3954514
49  7101233
50  11596595
51  17158066
52  23122993
53  28383975
54  31761529
55  32515934
56  30458832
57  29714125
58  29033981
59  28438124
60  27811065
61  27274355
62  26738031
63  26204037
64  25744317
65  25275170
66  24807464
67  24422985
68  24150166
69  23778656
70  23429555
71  23169035
72  22981650
73  22677731
74  22546814
75  22076474
76  22089382
77  21881417
78  21769677
79  21566990
80  21450548
81  21220513
82  20909191
83  20921750
84  20704075
85  20491296
86  20217710
87  19956391
88  20031481
89  19939752
90  19441029
91  18601662
92  14804946
93  18230528
94  19134101
95  18590520
96  16822817
97  17614343
98  14171549
99  16578982
100  14463435
101  7837848
102  12912657
103  13894374
104  5226082
105  12786841
106  5134804
107  1898272
108  4556441
109  968749
110  59495
111  16678
112  2828
113  2711
114  1802
