# version: 0.0.0-180-gcbcf83e-dirty
# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.0188758
# min_important_energy after initialization: 42

# histogram method: simple flat
# init_iter_limit: 12100000
# iterations: 12100000
# working moves: 16739855
# total moves: 32895159
# acceptance rate: 0.508885

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.0709016
24  0.398172
25  0.993004
26  1.86414
27  3.01484
28  4.41322
29  6.03019
30  7.83084
31  9.74392
32  11.7566
33  13.8639
34  16.0848
35  18.4386
36  20.9424
37  23.5713
38  26.4193
39  29.8825
40  33.6175
41  37.5171
42  41.4677
43  46.4677
44  51.4677
45  56.4677
46  61.4677
47  66.4677
48  71.4677
49  76.4677
50  81.4677
51  86.4677
52  91.4677
53  96.4677
54  101.468
55  106.468
56  111.468
57  116.468
58  121.468
59  126.468
