# version: 0.0.0-198-gb6a8735-dirty
# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.00433146
# min_important_energy after initialization: 102

# histogram method: oetmmc
# init_iter_limit: 44100000
# iterations: 44100000
# working moves: 440158679
# total moves: 926100000
# acceptance rate: 0.475282

# energy	samples
50  0
51  2799321
52  1505865
53  975081
54  681647
55  494270
56  367857
57  279658
58  216319
59  170247
60  135305
61  109176
62  88684
63  72785
64  60227
65  50203
66  42181
67  35627
68  30329
69  25794
70  22105
71  19022
72  16444
73  14228
74  12371
75  10762
76  9405
77  8248
78  7305
79  6399
80  5477
81  4906
82  4339
83  3846
84  3452
85  3066
86  2586
87  2114
88  1844
89  1488
90  1295
91  1072
92  858
93  646
94  503
95  372
96  282
97  200
98  161
99  136
100  115
101  91
102  75
103  12
