# version: 0.0.0-227-g1ae6e13-dirty
# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.00422953
# min_important_energy after initialization: 102

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 44100000
# iterations: 44100000
# working moves: 457534984
# total moves: 926100000
# acceptance rate: 0.494045

# min_important_energy: 102

# energy   counts
33  2
34  7
35  55
36  356
37  1750
38  6932
39  25646
40  79868
41  230719
42  579276
43  1295804
44  2603322
45  4666432
46  7523074
47  10879425
48  14199139
49  16707005
50  17793802
51  17826454
52  17846191
53  17823699
54  17783859
55  17751996
56  17689554
57  17614460
58  17544682
59  17567697
60  17618758
61  17567721
62  17597541
63  17629842
64  17605849
65  17592434
66  17610450
67  17543977
68  17544653
69  17516584
70  17495563
71  17418347
72  17414912
73  17322492
74  17393388
75  17479757
76  17548588
77  17472924
78  17487730
79  17517456
80  17493358
81  17622779
82  17786207
83  17831377
84  17772281
85  17696967
86  17387423
87  17018555
88  16725369
89  16303188
90  16071850
91  15588348
92  15111730
93  14580977
94  13966372
95  13292781
96  12502592
97  11821137
98  11285619
99  10797824
100  10517729
101  10422257
102  10078419
103  4689
