# version: 0.0.0-198-gb6a8735-dirty
# well_width: 1.3
# ff: 0.3
# N: 22
# walls: 0
# cell dimensions: (6.7473, 6.7473, 6.7473)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00677548
# min_important_energy after initialization: 109

# histogram method: tmmc
# init_iter_limit: 48400000
# iterations: 48400000
# working moves: 554678510
# total moves: 1064800000
# acceptance rate: 0.520923

# min_important_energy: 109

# energy   counts
36  20
37  119
38  618
39  2665
40  9447
41  31714
42  98019
43  273341
44  682892
45  1517108
46  3031234
47  5435534
48  8815247
49  12903978
50  17090176
51  20545179
52  22418703
53  22269115
54  22245540
55  22223619
56  22244198
57  22277930
58  22293803
59  22320172
60  22320888
61  22361138
62  22302397
63  22269420
64  22233207
65  22251051
66  22194668
67  22155564
68  22093325
69  22089643
70  22107703
71  22213314
72  22248248
73  22280278
74  22276727
75  22319059
76  22283138
77  22262629
78  22275336
79  22155975
80  22025501
81  21882430
82  21728979
83  21800211
84  21751674
85  21451741
86  21288293
87  21361476
88  21223757
89  20992513
90  20983303
91  20792405
92  20315123
93  19627398
94  17104841
95  7376067
96  8693311
97  8527201
98  8184891
99  7693999
100  7188208
101  3548729
102  3603103
103  1704144
104  107488
105  174672
106  87514
107  108574
108  41295
109  1156
110  5924
