# version: 0.0.0-198-gb6a8735-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.0070369
# min_important_energy after initialization: 109

# histogram method: oetmmc
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 630579413
# total moves: 1216700000
# acceptance rate: 0.51827

# min_important_energy: 109

# energy   counts
38  20
39  157
40  723
41  2752
42  10816
43  35795
44  107605
45  295827
46  726419
47  1596271
48  3175251
49  5727471
50  9341200
51  13850675
52  18650235
53  22896682
54  25625074
55  24474247
56  24179602
57  24205293
58  24203921
59  24124438
60  24069439
61  23911225
62  23841083
63  23711261
64  23632613
65  23451451
66  23438563
67  23436734
68  23102587
69  23108469
70  22989552
71  22961568
72  22796332
73  22848337
74  22444490
75  22032350
76  22550804
77  22335207
78  22297500
79  22517432
80  22399983
81  22177248
82  22259591
83  22339758
84  22864957
85  22736318
86  20508581
87  17168353
88  21533362
89  21802632
90  22121912
91  22472151
92  22952364
93  21870935
94  19237539
95  17212511
96  18256078
97  22262568
98  27186425
99  25234841
100  12361141
101  6461111
102  6075974
103  17645308
104  12509878
105  22518945
106  7003351
107  2058041
108  5967892
109  295867
110  457337
111  517809
112  799254
113  1161662
114  1105789
115  435968
116  19095
