# version: 0.0.0-205-g2032787-dirty
# well_width: 1.3
# ff: 0.3
# N: 24
# walls: 0
# cell dimensions: (6.94586, 6.94586, 6.94586)
# seed: 9
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 124

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N24-tmmc-golden-transitions.dat
# iterations: 57600000
# working moves: 670309099
# total moves: 1382400000
# acceptance rate: 0.484888

# min_important_energy: 124

# energy   counts
39  8
40  34
41  134
42  528
43  2188
44  8494
45  28011
46  81273
47  218633
48  530220
49  1163096
50  2309500
51  4183635
52  6899358
53  10335897
54  14169744
55  17774718
56  20431464
57  21548929
58  20873706
59  20873561
60  20866233
61  20860049
62  20859958
63  20864770
64  20881742
65  20898390
66  20914481
67  20925802
68  20970534
69  20992517
70  20988519
71  20960075
72  20993281
73  20986901
74  20997494
75  20972467
76  20911987
77  20935238
78  20929361
79  20905999
80  20946357
81  20949052
82  20890007
83  20919492
84  20921007
85  20894771
86  20842723
87  20841823
88  20902712
89  20955266
90  20991629
91  21030247
92  21113142
93  21201589
94  21191782
95  21292677
96  21278265
97  21291238
98  21341505
99  21430053
100  21558061
101  21686210
102  21832745
103  22033827
104  22301657
105  22505655
106  22550120
107  22627958
108  22667616
109  22653568
110  22765852
111  22812705
112  22796488
113  22893444
114  22870321
115  22679719
116  22714460
117  16361454
118  2686572
119  84586
120  28805
121  10744
122  3167
