# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 10
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.0109733
# min_important_energy after initialization: 65

# histogram method: simple flat
# init_iter_limit: 19600000
# iterations: 19600000
# working moves: 48237015
# total moves: 95852792
# acceptance rate: 0.503241

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0.00841262
35  0.150757
36  0.430847
37  0.837984
38  1.36983
39  2.01555
40  2.77669
41  3.64625
42  4.62063
43  5.69449
44  6.86585
45  8.12817
46  9.48332
47  10.9241
48  12.4501
49  14.0538
50  15.7508
51  17.5211
52  19.3854
53  21.3371
54  23.355
55  25.4448
56  27.5858
57  29.7853
58  32.0536
59  34.4093
60  36.8797
61  39.4877
62  42.3164
63  45.4195
64  48.9254
65  53.0914
66  58.0914
67  63.0914
68  68.0914
69  73.0914
70  78.0914
71  83.0914
72  88.0914
73  93.0914
74  98.0914
75  103.091
76  108.091
77  113.091
78  118.091
79  123.091
80  128.091
81  133.091
82  138.091
83  143.091
