# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 10
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.0041462
# min_important_energy after initialization: 102

# histogram method: oetmmc
# init_iter_limit: 44100000
# iterations: 44100000
# working moves: 483705214
# total moves: 926100000
# acceptance rate: 0.522303

# min_important_energy: 102

# energy   counts
32  9
33  7
34  5
35  60
36  401
37  2081
38  8564
39  32391
40  103154
41  291279
42  739340
43  1659994
44  3324491
45  5960688
46  9597456
47  13863241
48  18062998
49  21231691
50  22581767
51  21807845
52  21563982
53  21592598
54  21558321
55  21492411
56  21339983
57  21279772
58  21179590
59  21119330
60  20914757
61  20833252
62  20709730
63  20596218
64  20441120
65  20502398
66  20371116
67  20123574
68  20058878
69  19837785
70  19958292
71  19803114
72  20047595
73  19307659
74  19712935
75  18858521
76  19058003
77  18353109
78  20125856
79  18580513
80  17524998
81  16470165
82  18572400
83  20129841
84  15809808
85  6927046
86  14915814
87  13938778
88  8163437
89  17158268
90  18445408
91  11371613
92  4458490
93  4701557
94  7782825
95  3064078
96  3983680
97  4692901
98  1751467
99  1800562
100  2116277
101  1502320
102  22220622
103  9771
