# version: 0.0.0-227-g1ae6e13-dirty
# well_width: 1.3
# ff: 0.3
# N: 25
# walls: 0
# cell dimensions: (7.04102, 7.04102, 7.04102)
# seed: 11
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.00417264
# min_important_energy after initialization: 123

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 62500000
# iterations: 62500000
# working moves: 730793823
# total moves: 1562500000
# acceptance rate: 0.467708

# energy	samples
60  0
61  3170907
62  1723685
63  1137187
64  807776
65  595477
66  450279
67  347721
68  272748
69  216803
70  174939
71  142636
72  117706
73  97925
74  82076
75  69295
76  59101
77  50778
78  43680
79  37811
80  32813
81  28670
82  25150
83  22083
84  19663
85  17463
86  15562
87  13901
88  12470
89  11206
90  10087
91  9154
92  8262
93  7483
94  6803
95  6179
96  5616
97  5165
98  4721
99  4361
100  4003
101  3676
102  3355
103  3079
104  2810
105  2571
106  2345
107  2126
108  1930
109  1720
110  1521
111  1332
112  1187
113  1045
114  936
115  826
116  725
117  655
118  576
119  488
120  415
121  340
122  278
123  212
124  148
125  41
