# version: 0.0.0-311-gfa31720-dirty
# well_width: 1.3
# ff: 0.3
# N: 25
# walls: 0
# cell dimensions: (7.04102, 7.04102, 7.04102)
# seed: 11
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.00257155
# min_important_energy after initialization: 114

# histogram method: Wang-Landau
# wl_factor: 1
# wl_fmod: 2
# wl_threshold: 0.0526316
# wl_cutoff: 1e-08
# init_iter_limit: 62500000
# iterations: 62500000
# working moves: 417167697
# total moves: 1562500000
# acceptance rate: 0.266987

# min_important_energy: 114

# energy   counts
45  1
46  8
47  40
48  170
49  662
50  1633
51  2915
52  5639
53  9840
54  16519
55  24222
56  33126
57  42023
58  47552
59  51171
60  49952
61  69951
62  63403
63  11232
64  5837
65  3843
66  2962
67  1470
68  1184
69  5739
70  956
71  1132
72  767
73  110
74  29
75  7
77  621
78  658
79  298
80  91
81  241
82  228
83  1126
84  771
85  241
86  73
87  64
88  42
89  128
90  538
91  603
92  228
93  17
94  143
95  6
96  206
97  263
98  268
99  85
100  689
101  180
102  2453
103  425
104  74
105  39
106  995
107  680
108  1414
109  32273
110  2973
111  82264
112  1053
113  1612540
114  1554765
115  368238
116  892062
117  4355733
118  21722632
119  91728235
120  284759776
121  513405481
122  520926978
123  117437220
124  3149794
