# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 13
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.0110357
# min_important_energy after initialization: 42

# histogram method: tmmc
# init_iter_limit: 12100000
# iterations: 12100000
# working moves: 69491711
# total moves: 133100000
# acceptance rate: 0.522102

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.0706071
24  0.40577
25  1.00673
26  1.88059
27  3.01804
28  4.41851
29  6.0367
30  7.82329
31  9.73225
32  11.7342
33  13.8288
34  16.0245
35  18.3719
36  20.8378
37  23.4537
38  26.2689
39  28.9656
40  32.3839
41  35.718
42  39.5016
43  44.5016
44  49.5016
45  54.5016
46  59.5016
47  64.5016
48  69.5016
49  74.5016
50  79.5016
51  84.5016
52  89.5016
53  94.5016
54  99.5016
55  104.502
56  109.502
57  114.502
58  119.502
59  124.502
