# version: 0.0.0-275-g22b78b0-dirty
# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 13
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.0040531
# min_important_energy after initialization: 95

# histogram method: oetmmc
# init_iter_limit: 40000000
# iterations: 40000000
# working moves: 440580665
# total moves: 800000000
# acceptance rate: 0.550726

# energy	samples
48  0
49  4090146
50  2190506
51  1405945
52  966822
53  689122
54  503748
55  376708
56  286643
57  221618
58  173817
59  137938
60  110439
61  89393
62  72909
63  59906
64  49451
65  41133
66  34434
67  28870
68  24443
69  20892
70  17810
71  15147
72  12951
73  11184
74  9673
75  8434
76  7320
77  6368
78  5507
79  4740
80  4078
81  3565
82  3043
83  2439
84  2105
85  1694
86  1314
87  976
88  752
89  478
90  288
91  197
92  113
93  72
94  55
95  48
96  23
97  1
