# version: 0.0.0-296-gced568d-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 14
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00169196
# min_important_energy after initialization: 117

# histogram method: Wang-Landau
# wl_factor: 1
# wl_fmod: 2
# wl_threshold: 0.0526316
# wl_cutoff: 1e-08
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 119679594
# total moves: 1216700000
# acceptance rate: 0.0983641

# min_important_energy: 117

# energy   counts
12  1
14  1
15  3
16  1
19  1
20  2
22  1
23  4
24  1
25  3
26  1
27  2
28  1
30  2
31  2
32  2
34  2
35  5
36  4
37  15
38  7
39  12
40  20
41  16
42  45
43  121
44  171
45  373
46  977
47  1805
48  3445
49  6053
50  9231
51  13626
52  18925
53  22296
54  25352
55  26166
56  414837
57  49773
58  862
59  246
60  155
61  785
62  317
63  154
64  327
65  61
66  30
67  223
68  56
69  75
70  18
71  3
72  7
73  978
74  652
75  594
76  397
77  90
78  18
79  65
80  58
81  28
82  275
83  108
84  94
85  616
86  2620
87  435
88  22809
89  1917
90  3986
91  511
92  295
93  92
94  758
95  11166
96  42
97  973
98  64
99  43
100  2601
101  17723
102  37151
103  6371
104  44712
105  2213
106  10912
107  8573
108  10636
109  8507366
110  848048
111  1206557386
