# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 26
# walls: 0
# cell dimensions: (7.13368, 7.13368, 7.13368)
# seed: 14
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 0.01012
# min_important_energy after initialization: 129

# histogram method: simple flat
# init_iter_limit: 67600000
# iterations: 67600000
# working moves: 813901302
# total moves: 1757600000
# acceptance rate: 0.463075

# energy	samples
62  0
63  3655194
64  1997885
65  1321899
66  943976
67  699121
68  530765
69  410546
70  322776
71  257947
72  208345
73  170629
74  140678
75  117590
76  98753
77  83636
78  71290
79  60981
80  52692
81  45705
82  39806
83  34782
84  30503
85  26899
86  23740
87  21097
88  18848
89  16897
90  15109
91  13558
92  12122
93  10985
94  9978
95  9002
96  8185
97  7463
98  6768
99  6167
100  5664
101  5208
102  4789
103  4402
104  4082
105  3775
106  3456
107  3198
108  2967
109  2719
110  2510
111  2295
112  2095
113  1885
114  1730
115  1559
116  1395
117  1250
118  1120
119  1017
120  908
121  809
122  712
123  624
124  543
125  451
126  374
127  295
128  219
129  137
130  66
131  47
132  37
