# version: 0.0.0-227-g1ae6e13-dirty
# well_width: 1.3
# ff: 0.3
# N: 13
# walls: 0
# cell dimensions: (5.662, 5.662, 5.662)
# seed: 16
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.00560127
# min_important_energy after initialization: 58

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 16900000
# iterations: 16900000
# working moves: 111670602
# total moves: 219700000
# acceptance rate: 0.508287

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0.105715
33  0.345222
34  0.717932
35  1.23408
36  1.87923
37  2.65548
38  3.54475
39  4.55036
40  5.6552
41  6.86942
42  8.18892
43  9.60317
44  11.1092
45  12.7049
46  14.4131
47  16.2028
48  18.095
49  20.08
50  22.1278
51  24.2478
52  26.4749
53  28.78
54  31.2241
55  33.8004
56  36.5907
57  39.6926
58  43.3255
59  48.3255
60  53.3255
61  58.3255
62  63.3255
63  68.3255
64  73.3255
65  78.3255
66  83.3255
67  88.3255
68  93.3255
69  98.3255
70  103.326
71  108.326
