# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 24
# walls: 0
# cell dimensions: (6.94586, 6.94586, 6.94586)
# seed: 16
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.00269129
# min_important_energy after initialization: 116

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 57600000
# iterations: 57600000
# working moves: 675408962
# total moves: 1382400000
# acceptance rate: 0.488577

# energy	samples
58  0
59  3117000
60  1687605
61  1106011
62  782855
63  574888
64  431322
65  331044
66  259230
67  206267
68  166133
69  135615
70  111576
71  92787
72  77641
73  65681
74  55949
75  47858
76  41424
77  35848
78  31119
79  27326
80  23914
81  21037
82  18653
83  16536
84  14618
85  13005
86  11588
87  10381
88  9359
89  8415
90  7555
91  6831
92  6184
93  5627
94  5099
95  4609
96  4213
97  3817
98  3462
99  3137
100  2857
101  2551
102  2257
103  2026
104  1805
105  1578
106  1359
107  1164
108  988
109  859
110  740
111  644
112  551
113  482
114  387
115  306
116  227
117  155
118  64
119  27
120  7
121  3
122  1
