# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 17
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.00434913
# min_important_energy after initialization: 65

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 19600000
# iterations: 19600000
# working moves: 146448925
# total moves: 274400000
# acceptance rate: 0.533706

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0.142315
36  0.419323
37  0.810287
38  1.32224
39  1.95602
40  2.68555
41  3.52685
42  4.48927
43  5.54238
44  6.69859
45  7.95903
46  9.21802
47  10.6084
48  12.132
49  13.7327
50  15.3357
51  17.1198
52  19.0283
53  20.966
54  22.9708
55  25.0931
56  27.1773
57  29.3467
58  31.5361
59  33.8661
60  36.2574
61  38.7667
62  41.4877
63  44.5579
64  48.1685
65  52.2642
66  57.2642
67  62.2642
68  67.2642
69  72.2642
70  77.2642
71  82.2642
72  87.2642
73  92.2642
74  97.2642
75  102.264
76  107.264
77  112.264
78  117.264
79  122.264
80  127.264
81  132.264
82  137.264
83  142.264
