# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 19
# walls: 0
# cell dimensions: (6.4255, 6.4255, 6.4255)
# seed: 17
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.0117069
# min_important_energy after initialization: 89

# histogram method: oetmmc
# init_iter_limit: 36100000
# iterations: 36100000
# working moves: 371380632
# total moves: 685900000
# acceptance rate: 0.54145

# energy	samples
46  0
47  3079120
48  1643456
49  1055800
50  727770
51  521030
52  382518
53  287550
54  220724
55  171699
56  135263
57  107798
58  86879
59  70784
60  58114
61  47934
62  39833
63  33303
64  27924
65  23664
66  20086
67  17241
68  14766
69  12683
70  10912
71  9428
72  8242
73  7214
74  6357
75  4927
76  4288
77  3670
78  3215
79  2655
80  2334
81  1880
82  998
83  558
84  340
85  227
86  161
87  107
88  65
89  50
90  7
